,Iteration,Fitness,Time,State,use_fast_mimic,Population Size,Keep Percent,max_iters
10,10,74761.0,25.802719626999533,"[49.0, 37.0, 16.0, 12.0, 47.0, 24.0, 41.0, 23.0, 6.0, 27.0, 47.0, 37.0, 1.0, 25.0, 27.0, 41.0, 12.0, 30.0, 44.0, 43.0, 37.0, 46.0, 45.0, 18.0, 12.0, 41.0, 49.0, 19.0, 40.0, 13.0, 17.0, 40.0, 12.0, 19.0, 48.0, 39.0, 45.0, 42.0, 31.0, 1.0, 27.0, 4.0, 14.0, 1.0, 48.0, 46.0, 29.0, 42.0, 14.0, 47.0, 25.0, 47.0, 22.0, 28.0, 25.0, 21.0, 48.0, 30.0, 24.0, 28.0, 36.0, 36.0, 29.0, 18.0, 0.0, 49.0, 14.0, 30.0, 19.0, 40.0, 1.0, 3.0, 32.0, 39.0, 27.0, 37.0, 18.0, 32.0, 45.0, 36.0, 5.0, 36.0, 37.0, 11.0, 34.0, 24.0, 36.0, 11.0, 41.0, 25.0, 6.0, 34.0, 35.0, 43.0, 46.0, 31.0, 44.0, 47.0, 43.0, 39.0]",True,100,0.5,49
11,11,74761.0,28.303729835999548,"[49.0, 37.0, 16.0, 12.0, 47.0, 24.0, 41.0, 23.0, 6.0, 27.0, 47.0, 37.0, 1.0, 25.0, 27.0, 41.0, 12.0, 30.0, 44.0, 43.0, 37.0, 46.0, 45.0, 18.0, 12.0, 41.0, 49.0, 19.0, 40.0, 13.0, 17.0, 40.0, 12.0, 19.0, 48.0, 39.0, 45.0, 42.0, 31.0, 1.0, 27.0, 4.0, 14.0, 1.0, 48.0, 46.0, 29.0, 42.0, 14.0, 47.0, 25.0, 47.0, 22.0, 28.0, 25.0, 21.0, 48.0, 30.0, 24.0, 28.0, 36.0, 36.0, 29.0, 18.0, 0.0, 49.0, 14.0, 30.0, 19.0, 40.0, 1.0, 3.0, 32.0, 39.0, 27.0, 37.0, 18.0, 32.0, 45.0, 36.0, 5.0, 36.0, 37.0, 11.0, 34.0, 24.0, 36.0, 11.0, 41.0, 25.0, 6.0, 34.0, 35.0, 43.0, 46.0, 31.0, 44.0, 47.0, 43.0, 39.0]",True,100,0.5,49
12,12,74761.0,30.77781250499902,"[49.0, 37.0, 16.0, 12.0, 47.0, 24.0, 41.0, 23.0, 6.0, 27.0, 47.0, 37.0, 1.0, 25.0, 27.0, 41.0, 12.0, 30.0, 44.0, 43.0, 37.0, 46.0, 45.0, 18.0, 12.0, 41.0, 49.0, 19.0, 40.0, 13.0, 17.0, 40.0, 12.0, 19.0, 48.0, 39.0, 45.0, 42.0, 31.0, 1.0, 27.0, 4.0, 14.0, 1.0, 48.0, 46.0, 29.0, 42.0, 14.0, 47.0, 25.0, 47.0, 22.0, 28.0, 25.0, 21.0, 48.0, 30.0, 24.0, 28.0, 36.0, 36.0, 29.0, 18.0, 0.0, 49.0, 14.0, 30.0, 19.0, 40.0, 1.0, 3.0, 32.0, 39.0, 27.0, 37.0, 18.0, 32.0, 45.0, 36.0, 5.0, 36.0, 37.0, 11.0, 34.0, 24.0, 36.0, 11.0, 41.0, 25.0, 6.0, 34.0, 35.0, 43.0, 46.0, 31.0, 44.0, 47.0, 43.0, 39.0]",True,100,0.5,49
13,13,74761.0,33.49209105599948,"[49.0, 37.0, 16.0, 12.0, 47.0, 24.0, 41.0, 23.0, 6.0, 27.0, 47.0, 37.0, 1.0, 25.0, 27.0, 41.0, 12.0, 30.0, 44.0, 43.0, 37.0, 46.0, 45.0, 18.0, 12.0, 41.0, 49.0, 19.0, 40.0, 13.0, 17.0, 40.0, 12.0, 19.0, 48.0, 39.0, 45.0, 42.0, 31.0, 1.0, 27.0, 4.0, 14.0, 1.0, 48.0, 46.0, 29.0, 42.0, 14.0, 47.0, 25.0, 47.0, 22.0, 28.0, 25.0, 21.0, 48.0, 30.0, 24.0, 28.0, 36.0, 36.0, 29.0, 18.0, 0.0, 49.0, 14.0, 30.0, 19.0, 40.0, 1.0, 3.0, 32.0, 39.0, 27.0, 37.0, 18.0, 32.0, 45.0, 36.0, 5.0, 36.0, 37.0, 11.0, 34.0, 24.0, 36.0, 11.0, 41.0, 25.0, 6.0, 34.0, 35.0, 43.0, 46.0, 31.0, 44.0, 47.0, 43.0, 39.0]",True,100,0.5,49
14,14,74761.0,36.28797499000029,"[49.0, 37.0, 16.0, 12.0, 47.0, 24.0, 41.0, 23.0, 6.0, 27.0, 47.0, 37.0, 1.0, 25.0, 27.0, 41.0, 12.0, 30.0, 44.0, 43.0, 37.0, 46.0, 45.0, 18.0, 12.0, 41.0, 49.0, 19.0, 40.0, 13.0, 17.0, 40.0, 12.0, 19.0, 48.0, 39.0, 45.0, 42.0, 31.0, 1.0, 27.0, 4.0, 14.0, 1.0, 48.0, 46.0, 29.0, 42.0, 14.0, 47.0, 25.0, 47.0, 22.0, 28.0, 25.0, 21.0, 48.0, 30.0, 24.0, 28.0, 36.0, 36.0, 29.0, 18.0, 0.0, 49.0, 14.0, 30.0, 19.0, 40.0, 1.0, 3.0, 32.0, 39.0, 27.0, 37.0, 18.0, 32.0, 45.0, 36.0, 5.0, 36.0, 37.0, 11.0, 34.0, 24.0, 36.0, 11.0, 41.0, 25.0, 6.0, 34.0, 35.0, 43.0, 46.0, 31.0, 44.0, 47.0, 43.0, 39.0]",True,100,0.5,49
15,15,74761.0,39.72158762199979,"[49.0, 37.0, 16.0, 12.0, 47.0, 24.0, 41.0, 23.0, 6.0, 27.0, 47.0, 37.0, 1.0, 25.0, 27.0, 41.0, 12.0, 30.0, 44.0, 43.0, 37.0, 46.0, 45.0, 18.0, 12.0, 41.0, 49.0, 19.0, 40.0, 13.0, 17.0, 40.0, 12.0, 19.0, 48.0, 39.0, 45.0, 42.0, 31.0, 1.0, 27.0, 4.0, 14.0, 1.0, 48.0, 46.0, 29.0, 42.0, 14.0, 47.0, 25.0, 47.0, 22.0, 28.0, 25.0, 21.0, 48.0, 30.0, 24.0, 28.0, 36.0, 36.0, 29.0, 18.0, 0.0, 49.0, 14.0, 30.0, 19.0, 40.0, 1.0, 3.0, 32.0, 39.0, 27.0, 37.0, 18.0, 32.0, 45.0, 36.0, 5.0, 36.0, 37.0, 11.0, 34.0, 24.0, 36.0, 11.0, 41.0, 25.0, 6.0, 34.0, 35.0, 43.0, 46.0, 31.0, 44.0, 47.0, 43.0, 39.0]",True,100,0.5,49
16,16,74761.0,39.72158762199979,"[49.0, 37.0, 16.0, 12.0, 47.0, 24.0, 41.0, 23.0, 6.0, 27.0, 47.0, 37.0, 1.0, 25.0, 27.0, 41.0, 12.0, 30.0, 44.0, 43.0, 37.0, 46.0, 45.0, 18.0, 12.0, 41.0, 49.0, 19.0, 40.0, 13.0, 17.0, 40.0, 12.0, 19.0, 48.0, 39.0, 45.0, 42.0, 31.0, 1.0, 27.0, 4.0, 14.0, 1.0, 48.0, 46.0, 29.0, 42.0, 14.0, 47.0, 25.0, 47.0, 22.0, 28.0, 25.0, 21.0, 48.0, 30.0, 24.0, 28.0, 36.0, 36.0, 29.0, 18.0, 0.0, 49.0, 14.0, 30.0, 19.0, 40.0, 1.0, 3.0, 32.0, 39.0, 27.0, 37.0, 18.0, 32.0, 45.0, 36.0, 5.0, 36.0, 37.0, 11.0, 34.0, 24.0, 36.0, 11.0, 41.0, 25.0, 6.0, 34.0, 35.0, 43.0, 46.0, 31.0, 44.0, 47.0, 43.0, 39.0]",True,100,0.5,49
17,17,74761.0,39.72158762199979,"[49.0, 37.0, 16.0, 12.0, 47.0, 24.0, 41.0, 23.0, 6.0, 27.0, 47.0, 37.0, 1.0, 25.0, 27.0, 41.0, 12.0, 30.0, 44.0, 43.0, 37.0, 46.0, 45.0, 18.0, 12.0, 41.0, 49.0, 19.0, 40.0, 13.0, 17.0, 40.0, 12.0, 19.0, 48.0, 39.0, 45.0, 42.0, 31.0, 1.0, 27.0, 4.0, 14.0, 1.0, 48.0, 46.0, 29.0, 42.0, 14.0, 47.0, 25.0, 47.0, 22.0, 28.0, 25.0, 21.0, 48.0, 30.0, 24.0, 28.0, 36.0, 36.0, 29.0, 18.0, 0.0, 49.0, 14.0, 30.0, 19.0, 40.0, 1.0, 3.0, 32.0, 39.0, 27.0, 37.0, 18.0, 32.0, 45.0, 36.0, 5.0, 36.0, 37.0, 11.0, 34.0, 24.0, 36.0, 11.0, 41.0, 25.0, 6.0, 34.0, 35.0, 43.0, 46.0, 31.0, 44.0, 47.0, 43.0, 39.0]",True,100,0.5,49
18,18,74761.0,39.72158762199979,"[49.0, 37.0, 16.0, 12.0, 47.0, 24.0, 41.0, 23.0, 6.0, 27.0, 47.0, 37.0, 1.0, 25.0, 27.0, 41.0, 12.0, 30.0, 44.0, 43.0, 37.0, 46.0, 45.0, 18.0, 12.0, 41.0, 49.0, 19.0, 40.0, 13.0, 17.0, 40.0, 12.0, 19.0, 48.0, 39.0, 45.0, 42.0, 31.0, 1.0, 27.0, 4.0, 14.0, 1.0, 48.0, 46.0, 29.0, 42.0, 14.0, 47.0, 25.0, 47.0, 22.0, 28.0, 25.0, 21.0, 48.0, 30.0, 24.0, 28.0, 36.0, 36.0, 29.0, 18.0, 0.0, 49.0, 14.0, 30.0, 19.0, 40.0, 1.0, 3.0, 32.0, 39.0, 27.0, 37.0, 18.0, 32.0, 45.0, 36.0, 5.0, 36.0, 37.0, 11.0, 34.0, 24.0, 36.0, 11.0, 41.0, 25.0, 6.0, 34.0, 35.0, 43.0, 46.0, 31.0, 44.0, 47.0, 43.0, 39.0]",True,100,0.5,49
19,19,74761.0,39.72158762199979,"[49.0, 37.0, 16.0, 12.0, 47.0, 24.0, 41.0, 23.0, 6.0, 27.0, 47.0, 37.0, 1.0, 25.0, 27.0, 41.0, 12.0, 30.0, 44.0, 43.0, 37.0, 46.0, 45.0, 18.0, 12.0, 41.0, 49.0, 19.0, 40.0, 13.0, 17.0, 40.0, 12.0, 19.0, 48.0, 39.0, 45.0, 42.0, 31.0, 1.0, 27.0, 4.0, 14.0, 1.0, 48.0, 46.0, 29.0, 42.0, 14.0, 47.0, 25.0, 47.0, 22.0, 28.0, 25.0, 21.0, 48.0, 30.0, 24.0, 28.0, 36.0, 36.0, 29.0, 18.0, 0.0, 49.0, 14.0, 30.0, 19.0, 40.0, 1.0, 3.0, 32.0, 39.0, 27.0, 37.0, 18.0, 32.0, 45.0, 36.0, 5.0, 36.0, 37.0, 11.0, 34.0, 24.0, 36.0, 11.0, 41.0, 25.0, 6.0, 34.0, 35.0, 43.0, 46.0, 31.0, 44.0, 47.0, 43.0, 39.0]",True,100,0.5,49
