,Iteration,Time,Fitness,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,0.0036555590049829334,66229.0,True,100,0.9,49
1,1,4.092358285997761,68622.0,True,100,0.9,49
2,2,8.139989715011325,68882.0,True,100,0.9,49
3,3,12.081556741002714,68882.0,True,100,0.9,49
4,4,15.98355532498681,68882.0,True,100,0.9,49
5,5,19.921568991005188,68882.0,True,100,0.9,49
6,6,23.807291993987747,69018.0,True,100,0.9,49
7,7,27.59197418601252,69018.0,True,100,0.9,49
8,8,31.391846534010256,69018.0,True,100,0.9,49
9,9,35.14581534298486,69018.0,True,100,0.9,49
10,10,38.996539376006695,69018.0,True,100,0.9,49
11,11,42.82909075799398,69018.0,True,100,0.9,49
