,Iteration,Time,Fitness,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,0.003726949000338209,70126.0,True,100,0.4,49
1,1,2.5221848499986663,70126.0,True,100,0.4,49
2,2,4.918938577999143,70798.0,True,100,0.4,49
3,3,7.20462674800001,70927.0,True,100,0.4,49
4,4,9.46340700499968,72242.0,True,100,0.4,49
5,5,11.672595392999938,72360.0,True,100,0.4,49
6,6,13.87745281199932,72742.0,True,100,0.4,49
7,7,16.0873852980003,73401.0,True,100,0.4,49
8,8,18.275808295000388,73500.0,True,100,0.4,49
9,9,20.454042305000257,73917.0,True,100,0.4,49
10,10,22.632122363000235,73931.0,True,100,0.4,49
11,11,24.966508084000452,74096.0,True,100,0.4,49
12,12,27.216089012999873,74096.0,True,100,0.4,49
13,13,29.44507958199938,74096.0,True,100,0.4,49
14,14,31.710623778999434,74096.0,True,100,0.4,49
15,15,33.89278055199975,74096.0,True,100,0.4,49
16,16,36.71400729999914,74096.0,True,100,0.4,49
