,Iteration,Time,Fitness,Temperature,max_iters
0,0,0.00011358901974745095,5.0,50,4901
1,1,0.0005909830215387046,5.0,50,4901
2,2,0.005503737018443644,5.0,50,4901
3,3,0.005666209006449208,5.0,50,4901
4,4,0.005819675017846748,5.0,50,4901
5,5,0.005971252016024664,5.0,50,4901
6,6,0.006124437000835314,5.0,50,4901
7,7,0.0062760360015090555,5.0,50,4901
8,8,0.006426908017601818,5.0,50,4901
9,9,0.006577645021025091,5.0,50,4901
10,10,0.0067289819999132305,4.0,50,4901
11,11,0.006879887019749731,4.0,50,4901
12,12,0.007031864020973444,5.0,50,4901
13,13,0.007178554020356387,5.0,50,4901
14,14,0.007329273008508608,6.0,50,4901
15,15,0.007475929014617577,6.0,50,4901
16,16,0.0076282010122668,6.0,50,4901
17,17,0.007837053999537602,6.0,50,4901
18,18,0.008054340025410056,6.0,50,4901
19,19,0.008354017016245052,6.0,50,4901
20,20,0.008647656999528408,6.0,50,4901
21,21,0.008940088999224827,6.0,50,4901
22,22,0.009219486004440114,6.0,50,4901
23,23,0.009478619002038613,6.0,50,4901
24,24,0.009736036008689553,6.0,50,4901
25,25,0.010009448014898226,6.0,50,4901
26,26,0.010287987010087818,5.0,50,4901
27,27,0.010485816019354388,6.0,50,4901
28,28,0.010637414001394063,6.0,50,4901
29,29,0.010790818021632731,6.0,50,4901
30,30,0.010944434005068615,6.0,50,4901
31,31,0.011097832000814378,6.0,50,4901
32,32,0.011250006005866453,8.0,50,4901
33,33,0.011397874011890963,8.0,50,4901
34,34,0.011550399009138346,8.0,50,4901
35,35,0.011727115022949874,8.0,50,4901
36,36,0.011917907017050311,8.0,50,4901
37,37,0.012071239005308598,8.0,50,4901
38,38,0.012223411002196372,8.0,50,4901
39,39,0.01237590701202862,8.0,50,4901
40,40,0.012528757011750713,8.0,50,4901
41,41,0.012681389023782685,8.0,50,4901
42,42,0.012832926004193723,8.0,50,4901
43,43,0.01298493699869141,8.0,50,4901
44,44,0.01313618101994507,7.0,50,4901
45,45,0.013286389003042132,7.0,50,4901
46,46,0.013439153000945225,7.0,50,4901
47,47,0.013588309026090428,6.0,50,4901
48,48,0.013817352999467403,6.0,50,4901
49,49,0.013978672010125592,6.0,50,4901
50,50,0.014137655001832172,6.0,50,4901
51,51,0.014294243010226637,6.0,50,4901
52,52,0.014446362009039149,6.0,50,4901
53,53,0.01461107999784872,6.0,50,4901
54,54,0.014782575017306954,4.0,50,4901
55,55,0.014943257003324106,4.0,50,4901
56,56,0.015099848998943344,4.0,50,4901
57,57,0.015273322002030909,4.0,50,4901
58,58,0.015422473021317273,4.0,50,4901
59,59,0.015576536010485142,5.0,50,4901
60,60,0.015744454023661092,5.0,50,4901
61,61,0.015929973014863208,5.0,50,4901
62,62,0.016080002998933196,5.0,50,4901
63,63,0.01622909601428546,5.0,50,4901
64,64,0.016382505011279136,5.0,50,4901
65,65,0.016530327004147694,5.0,50,4901
66,66,0.016683373018167913,5.0,50,4901
67,67,0.016840142023283988,5.0,50,4901
68,68,0.016993188008200377,6.0,50,4901
69,69,0.01713801102596335,6.0,50,4901
70,70,0.017290153016801924,6.0,50,4901
71,71,0.017442133015720174,6.0,50,4901
