Absolute Magnitude,Est Dia in KM(min),Est Dia in KM(max),Miles per hour,Miss Dist.(Astronomical),Orbit Uncertainity,Minimum Orbit Intersection,Jupiter Tisserand Invariant,Eccentricity,Semi Major Axis,Inclination,Asc Node Longitude,Orbital Period,Perihelion Distance,Perihelion Arg,Aphelion Dist,Perihelion Time,Mean Anomaly,Mean Motion,class
21.6,0.1272198785,0.2844722965,13680.5099440799,0.4194825299,5,0.0252819,4.634,0.425549083280268,1.40701130271298,6.02598128713833,314.373913413408,609.599786407648,0.808258932678493,57.2574698753955,2.00576367274746,2458161.64172049,264.837533298803,0.59055138802044,True
21.3,0.1460679643,0.3266178974,40519.1731054305,0.3830144627,3,0.186935,5.457,0.351674304586862,1.10777595443772,28.4129963719904,136.717241656808,425.869294206679,0.718199616022788,313.091974830269,1.49735229285265,2457794.96943128,173.741111989174,0.845329787559862,False
20.3,0.2315021222,0.5176544822,16979.6617975122,0.0509560159,0,0.0430579,4.557,0.348248261761996,1.45882381447481,4.23796100294792,259.475978945026,643.580228077368,0.950790956866954,248.415038112861,1.96685667208267,2458120.46754891,292.893653779441,0.559370820131414,True
27.4,0.0088014652,0.0196806745,24994.8398636678,0.2853223297,6,0.0055118,5.093,0.216578307837878,1.25590288961358,7.90589434812512,57.1732661338825,514.082140365449,0.983901566972367,18.7077008717209,1.52790421225479,2457902.33743385,68.7410066177758,0.700277196449743,False
21.6,0.1272198785,0.2844722965,22012.9549845092,0.4078321707,1,0.034798,5.154,0.210447943228487,1.22561473661833,16.7933816599912,84.6293067946083,495.597820944911,0.967686636106476,158.263596071329,1.48354283713018,2457814.45514869,135.142132675629,0.726395445632955,True
19.6,0.3195618867,0.7145621017,24178.3030507935,0.3927847844,1,0.272213,4.724,0.563441073497892,1.32353217997078,17.927750640117,178.971950777003,556.160555844281,0.577799787679036,198.145969151027,2.06926457226252,2458009.40263451,354.237368343331,0.64729509530481,False
19.6,0.3195618867,0.7145621017,24178.2977479872,0.392783196,1,0.272213,4.724,0.563441110074636,1.3235321619639,17.9277483790265,178.971952566791,556.160544494296,0.577799731407478,198.145959852676,2.06926459252032,2458009.40259136,354.237396160877,0.647295108514646,False
19.2,0.3841978911,0.8590926012,54629.3123082415,0.1291791611,0,0.0987582,4.921,0.449762795996509,1.23747453629878,34.6951274528148,112.562984413088,502.808757899797,0.680904528878559,288.374651115604,1.79404454371901,2458242.43909867,186.776932277699,0.715977982371864,False
17.8,0.7320739893,1.6369672047,38863.4170650166,0.3582829267,0,0.109354,5.386,0.238179010434869,1.14555084926603,22.2152102907753,80.2111320916226,447.837012847765,0.872704681585025,353.422394104098,1.41839701694704,2458221.63640416,182.236431530959,0.803863882779104,False
21.5,0.1332155667,0.2978790628,28855.1369869948,0.1518057418,0,0.0169065,6.623,0.551388806833007,0.876125366796483,2.0595769780108,2.61368236850676,299.535160736849,0.393039646162439,253.765937196532,1.35921108743053,2457900.77028218,119.861382303398,1.20186224253076,True
22.4,0.0880146521,0.1968067451,50154.3543091455,0.2010399884,6,0.000317965,7.033,0.475819477408116,0.813876724903495,23.1856866807236,117.111224044554,268.18616502096,0.426618326985285,220.940370757969,1.20113512282171,2457996.36039277,5.55680641285155,1.34235112378696,False
