,Iteration,Fitness,Time,State,Population Size,Mutation Rate,max_iters
10,226,92732.0,1.5544954600009078,"[24, 26, 1, 48, 6, 42, 12, 40, 41, 48, 10, 38, 23, 15, 32, 45, 45, 34, 46, 46, 46, 49, 12, 39, 0, 36, 3, 18, 33, 44, 33, 48, 1, 39, 46, 39, 49, 11, 49, 45, 45, 33, 48, 44, 37, 44, 46, 48, 34, 40, 43, 21, 49, 14, 10, 24, 49, 47, 44, 0, 35, 46, 46, 45, 49, 46, 0, 49, 46, 47, 10, 39, 38, 5, 48, 38, 41, 41, 48, 28, 27, 32, 42, 47, 31, 39, 38, 20, 13, 12, 2, 32, 45, 30, 19, 19, 46, 49, 46, 49]",75,0.9,1476
11,251,93615.0,1.7306278060004843,"[24, 26, 1, 48, 6, 42, 12, 40, 41, 48, 10, 38, 47, 15, 49, 45, 45, 34, 46, 46, 46, 49, 12, 39, 0, 36, 3, 18, 33, 44, 33, 48, 1, 39, 46, 39, 49, 11, 49, 45, 45, 33, 48, 39, 37, 44, 46, 48, 34, 45, 43, 21, 49, 14, 10, 0, 49, 47, 42, 0, 35, 46, 46, 45, 49, 46, 0, 49, 46, 47, 11, 39, 38, 5, 45, 49, 41, 41, 48, 28, 27, 30, 42, 47, 41, 39, 38, 4, 13, 4, 2, 32, 45, 30, 19, 43, 48, 49, 46, 49]",75,0.9,1476
12,276,94550.0,1.903004960000544,"[24, 26, 1, 48, 6, 42, 16, 40, 41, 48, 10, 38, 47, 15, 32, 47, 42, 34, 46, 46, 46, 49, 12, 39, 0, 36, 3, 18, 38, 45, 46, 48, 1, 39, 46, 39, 49, 11, 49, 45, 45, 33, 48, 6, 37, 44, 46, 48, 34, 45, 43, 21, 49, 14, 10, 3, 49, 47, 42, 0, 35, 46, 46, 45, 49, 46, 0, 49, 48, 47, 10, 39, 38, 5, 48, 38, 41, 41, 48, 28, 27, 48, 42, 47, 41, 39, 38, 4, 13, 2, 2, 32, 45, 30, 39, 37, 48, 49, 46, 49]",75,0.9,1476
13,301,95515.0,2.075380166999821,"[1, 34, 1, 48, 6, 42, 16, 40, 41, 48, 1, 38, 47, 15, 32, 49, 45, 34, 46, 46, 46, 49, 12, 39, 0, 36, 3, 18, 33, 44, 46, 48, 1, 40, 49, 39, 49, 11, 49, 45, 45, 33, 48, 6, 37, 44, 46, 48, 34, 45, 43, 21, 49, 14, 10, 0, 49, 47, 42, 0, 35, 46, 46, 45, 49, 46, 0, 49, 48, 47, 10, 39, 38, 5, 45, 49, 22, 41, 48, 28, 27, 46, 49, 47, 41, 36, 38, 44, 13, 4, 2, 42, 45, 30, 39, 37, 48, 49, 46, 49]",75,0.9,1476
14,326,96199.0,2.248906179000187,"[1, 34, 1, 48, 6, 42, 16, 40, 41, 48, 10, 38, 47, 15, 32, 49, 45, 44, 46, 46, 46, 49, 12, 39, 0, 36, 3, 18, 33, 46, 46, 48, 1, 39, 46, 39, 49, 11, 49, 45, 49, 33, 48, 6, 37, 48, 46, 48, 8, 45, 43, 21, 49, 14, 10, 0, 49, 47, 42, 0, 35, 46, 46, 49, 49, 46, 0, 49, 46, 47, 10, 44, 38, 5, 45, 49, 41, 41, 48, 28, 27, 48, 42, 47, 41, 39, 38, 44, 4, 4, 2, 42, 45, 30, 39, 37, 48, 49, 46, 49]",75,0.9,1476
15,351,96640.0,2.4216829230008443,"[5, 34, 1, 48, 6, 30, 16, 40, 41, 48, 10, 38, 47, 15, 32, 49, 45, 44, 46, 46, 8, 49, 12, 39, 0, 36, 3, 18, 33, 48, 46, 48, 1, 39, 46, 39, 49, 46, 49, 45, 49, 33, 48, 6, 37, 48, 46, 48, 8, 45, 43, 21, 49, 14, 10, 0, 49, 47, 42, 0, 35, 46, 46, 49, 49, 46, 0, 49, 48, 47, 38, 44, 38, 5, 45, 49, 34, 41, 48, 28, 47, 46, 49, 47, 41, 36, 38, 44, 13, 2, 2, 40, 45, 30, 39, 37, 48, 49, 46, 49]",75,0.9,1476
16,376,97162.0,2.597480140000698,"[1, 48, 1, 48, 6, 14, 16, 40, 41, 43, 1, 38, 47, 15, 32, 49, 45, 34, 46, 46, 46, 49, 12, 49, 0, 36, 3, 18, 33, 48, 46, 48, 1, 39, 46, 39, 49, 46, 49, 45, 49, 33, 48, 6, 37, 48, 46, 48, 8, 45, 43, 21, 49, 14, 10, 0, 49, 47, 42, 0, 35, 46, 46, 49, 49, 46, 0, 49, 48, 47, 38, 44, 48, 5, 45, 49, 18, 41, 48, 28, 47, 48, 49, 47, 41, 36, 38, 44, 13, 2, 2, 40, 45, 32, 39, 37, 48, 49, 46, 49]",75,0.9,1476
17,401,97760.0,2.7707563180010766,"[1, 48, 1, 48, 6, 42, 2, 40, 46, 48, 10, 38, 47, 15, 19, 49, 45, 34, 46, 46, 46, 49, 12, 49, 0, 36, 3, 18, 33, 48, 46, 46, 1, 30, 46, 39, 49, 46, 49, 45, 49, 33, 48, 6, 49, 48, 46, 48, 8, 45, 43, 21, 49, 14, 10, 0, 49, 47, 42, 0, 40, 46, 46, 49, 49, 46, 0, 49, 48, 47, 35, 44, 47, 5, 45, 49, 34, 41, 48, 28, 47, 46, 49, 47, 41, 36, 38, 44, 6, 2, 2, 40, 45, 30, 39, 37, 48, 49, 49, 49]",75,0.9,1476
18,426,98200.0,2.9439306999993278,"[1, 48, 1, 48, 6, 42, 2, 40, 46, 48, 10, 38, 47, 15, 19, 49, 45, 34, 46, 46, 46, 49, 12, 49, 0, 36, 3, 0, 33, 48, 46, 46, 1, 39, 46, 39, 49, 46, 49, 45, 49, 40, 48, 6, 37, 48, 46, 48, 8, 45, 43, 21, 49, 6, 10, 8, 49, 47, 42, 0, 35, 46, 46, 49, 49, 46, 0, 49, 48, 47, 38, 44, 48, 5, 45, 49, 41, 41, 48, 28, 47, 48, 49, 47, 41, 49, 38, 44, 13, 2, 2, 40, 45, 48, 39, 37, 48, 49, 49, 49]",75,0.9,1476
19,451,98674.0,3.1169928109993634,"[1, 48, 1, 48, 6, 30, 2, 40, 46, 48, 10, 38, 47, 12, 19, 49, 45, 34, 46, 46, 39, 49, 12, 49, 0, 36, 3, 0, 33, 48, 46, 46, 1, 39, 46, 39, 49, 46, 49, 45, 49, 33, 48, 6, 47, 48, 46, 48, 8, 45, 43, 21, 49, 6, 10, 8, 49, 47, 42, 0, 35, 46, 46, 49, 49, 46, 0, 49, 48, 47, 38, 44, 48, 5, 45, 49, 41, 41, 48, 47, 47, 48, 49, 47, 41, 49, 38, 44, 13, 2, 2, 40, 45, 48, 39, 37, 48, 49, 49, 49]",75,0.9,1476
