,Iteration,Time,Fitness,Population Size,Mutation Rate,max_iters
0,0,0.0028292120005062316,65183.0,75,0.9,1476
1,1,0.009856726001089555,65183.0,75,0.9,1476
2,2,0.02058605499951227,70131.0,75,0.9,1476
3,3,0.027252318999671843,70131.0,75,0.9,1476
4,4,0.03386313900045934,70131.0,75,0.9,1476
5,5,0.04049124999983178,70131.0,75,0.9,1476
6,6,0.0471254490003048,70419.0,75,0.9,1476
7,7,0.053725371000837185,70419.0,75,0.9,1476
8,8,0.06027526300022146,70946.0,75,0.9,1476
9,9,0.06689320700024837,70946.0,75,0.9,1476
10,10,0.07350542600033805,71799.0,75,0.9,1476
11,11,0.08024198000020988,71858.0,75,0.9,1476
12,12,0.0868693219999841,72244.0,75,0.9,1476
13,13,0.09348246899935475,72484.0,75,0.9,1476
14,14,0.10035880199939129,72968.0,75,0.9,1476
15,15,0.10721987299984903,72968.0,75,0.9,1476
16,16,0.11387144999935117,73427.0,75,0.9,1476
17,17,0.12051062700084003,73817.0,75,0.9,1476
18,18,0.12713825600076234,74372.0,75,0.9,1476
19,19,0.13373581999985618,74372.0,75,0.9,1476
20,20,0.14033909399950062,75644.0,75,0.9,1476
21,21,0.14698727299946768,75644.0,75,0.9,1476
22,22,0.15352980799980287,75644.0,75,0.9,1476
23,23,0.1601333220005472,75644.0,75,0.9,1476
24,24,0.16670322199934162,75644.0,75,0.9,1476
25,25,0.17324172299959173,75644.0,75,0.9,1476
26,26,0.1798302990009688,76773.0,75,0.9,1476
27,27,0.1907721860006859,76773.0,75,0.9,1476
28,28,0.1973870550009451,76775.0,75,0.9,1476
29,29,0.20408412600045267,78989.0,75,0.9,1476
30,30,0.21080484599951888,78989.0,75,0.9,1476
31,31,0.21738580400051433,79535.0,75,0.9,1476
32,32,0.22399371400024393,79535.0,75,0.9,1476
33,33,0.2306212620005681,79535.0,75,0.9,1476
34,34,0.2372634769999422,79535.0,75,0.9,1476
35,35,0.2438609559994802,79535.0,75,0.9,1476
36,36,0.2504466850004974,79659.0,75,0.9,1476
37,37,0.2570338929999707,79897.0,75,0.9,1476
38,38,0.26364614500016614,79897.0,75,0.9,1476
39,39,0.27022700999987137,81473.0,75,0.9,1476
40,40,0.27687362500000745,81473.0,75,0.9,1476
41,41,0.28351964200010116,81473.0,75,0.9,1476
42,42,0.2905062469999393,81798.0,75,0.9,1476
43,43,0.29711406000024,82230.0,75,0.9,1476
44,44,0.30372664599963173,82230.0,75,0.9,1476
45,45,0.31036131600012595,82230.0,75,0.9,1476
46,46,0.31696750599985535,82230.0,75,0.9,1476
47,47,0.3235829929999454,82230.0,75,0.9,1476
48,48,0.3302225299994461,82230.0,75,0.9,1476
49,49,0.33688023800095834,82373.0,75,0.9,1476
50,50,0.3435379010006727,82373.0,75,0.9,1476
51,51,0.3501423050001904,83134.0,75,0.9,1476
52,52,0.36130530400077987,83134.0,75,0.9,1476
53,53,0.36795239499952004,83134.0,75,0.9,1476
54,54,0.3746151960003772,83316.0,75,0.9,1476
55,55,0.38126589500097907,83316.0,75,0.9,1476
56,56,0.38800475599964557,83316.0,75,0.9,1476
57,57,0.3947392160007439,83702.0,75,0.9,1476
58,58,0.40144311299991386,83702.0,75,0.9,1476
59,59,0.408082624000599,83847.0,75,0.9,1476
60,60,0.4147390889993403,84110.0,75,0.9,1476
61,61,0.42139259400028095,84110.0,75,0.9,1476
62,62,0.4281105110003409,84110.0,75,0.9,1476
63,63,0.43470760300078837,84453.0,75,0.9,1476
64,64,0.44134163099988655,84467.0,75,0.9,1476
65,65,0.44795258500016644,84814.0,75,0.9,1476
66,66,0.4546576089996961,84814.0,75,0.9,1476
67,67,0.4612730230001034,84836.0,75,0.9,1476
68,68,0.4679523680006241,84836.0,75,0.9,1476
69,69,0.4745911949994479,85048.0,75,0.9,1476
70,70,0.48123134299930825,85164.0,75,0.9,1476
71,71,0.48786729499988724,85164.0,75,0.9,1476
72,72,0.4944992260006984,85386.0,75,0.9,1476
73,73,0.501267869000003,85386.0,75,0.9,1476
74,74,0.5078935189994809,85386.0,75,0.9,1476
75,75,0.5145041890009452,86013.0,75,0.9,1476
76,76,0.5212668530002702,86013.0,75,0.9,1476
77,77,0.5325905959998636,86013.0,75,0.9,1476
78,78,0.5392433819997677,86013.0,75,0.9,1476
79,79,0.545963982000103,86013.0,75,0.9,1476
80,80,0.5530627949992777,86013.0,75,0.9,1476
81,81,0.561727852000331,86321.0,75,0.9,1476
82,82,0.5684466220009199,86321.0,75,0.9,1476
83,83,0.575092921999385,86339.0,75,0.9,1476
84,84,0.5818024420004804,86375.0,75,0.9,1476
85,85,0.588447439000447,86381.0,75,0.9,1476
86,86,0.5951187450009456,86808.0,75,0.9,1476
87,87,0.6021988230004354,86808.0,75,0.9,1476
88,88,0.6089763580002909,86808.0,75,0.9,1476
89,89,0.6155724060008652,86808.0,75,0.9,1476
90,90,0.6222319999997126,86808.0,75,0.9,1476
91,91,0.6288976030009508,86808.0,75,0.9,1476
92,92,0.6355261070002598,86808.0,75,0.9,1476
93,93,0.6422735989999637,86808.0,75,0.9,1476
94,94,0.6489682240007824,87536.0,75,0.9,1476
95,95,0.6555833540005551,87536.0,75,0.9,1476
96,96,0.662285721000444,87536.0,75,0.9,1476
97,97,0.6689799790001416,87536.0,75,0.9,1476
98,98,0.6756100069997046,87799.0,75,0.9,1476
99,99,0.6822435630001564,87799.0,75,0.9,1476
100,100,0.6889860669998598,87799.0,75,0.9,1476
101,101,0.6955964360004145,87799.0,75,0.9,1476
102,102,0.707207510000444,87799.0,75,0.9,1476
103,103,0.713879201999589,87799.0,75,0.9,1476
104,104,0.7204817239999102,87960.0,75,0.9,1476
105,105,0.7271085600004881,88301.0,75,0.9,1476
106,106,0.7337608609996096,88472.0,75,0.9,1476
107,107,0.7404446679993271,88472.0,75,0.9,1476
108,108,0.7470505900000717,88971.0,75,0.9,1476
109,109,0.7537354220003181,88971.0,75,0.9,1476
110,110,0.7604266319995077,88971.0,75,0.9,1476
111,111,0.7670571010003187,88971.0,75,0.9,1476
112,112,0.77367736800079,88971.0,75,0.9,1476
113,113,0.7803620760005288,88971.0,75,0.9,1476
114,114,0.7869466169995576,89156.0,75,0.9,1476
115,115,0.7935390670008928,89156.0,75,0.9,1476
116,116,0.8001665890005825,89156.0,75,0.9,1476
117,117,0.8068090230008238,89156.0,75,0.9,1476
118,118,0.8134543630003463,89156.0,75,0.9,1476
119,119,0.8200718820007751,89168.0,75,0.9,1476
120,120,0.8267675179995422,89168.0,75,0.9,1476
121,121,0.8335366880000947,89208.0,75,0.9,1476
122,122,0.840165474000969,89208.0,75,0.9,1476
123,123,0.8468130649998784,89208.0,75,0.9,1476
124,124,0.8535458259993902,89252.0,75,0.9,1476
125,125,0.8602212490004604,89268.0,75,0.9,1476
126,126,0.8669052010009182,89268.0,75,0.9,1476
127,127,0.8785082810009044,89268.0,75,0.9,1476
128,128,0.8851536599995597,89788.0,75,0.9,1476
129,129,0.8918071839998447,89871.0,75,0.9,1476
130,130,0.8984590159998334,89871.0,75,0.9,1476
131,131,0.9051772469993011,89871.0,75,0.9,1476
132,132,0.9118845909997617,90137.0,75,0.9,1476
133,133,0.9185752339999453,90137.0,75,0.9,1476
134,134,0.9253118850010651,90137.0,75,0.9,1476
135,135,0.9319496650005021,90137.0,75,0.9,1476
136,136,0.9385977100009768,90137.0,75,0.9,1476
137,137,0.9452233680003701,90137.0,75,0.9,1476
138,138,0.9518980089997058,90232.0,75,0.9,1476
139,139,0.9585517739997158,90680.0,75,0.9,1476
140,140,0.9651745690007374,90680.0,75,0.9,1476
141,141,0.9717851549994521,90741.0,75,0.9,1476
142,142,0.978504000000612,90741.0,75,0.9,1476
143,143,0.9851597970009607,90741.0,75,0.9,1476
144,144,0.9917853999995714,90741.0,75,0.9,1476
145,145,0.9984913410007721,90741.0,75,0.9,1476
146,146,1.0051378480002313,90741.0,75,0.9,1476
147,147,1.0117561530005332,90741.0,75,0.9,1476
148,148,1.018446619000315,90741.0,75,0.9,1476
149,149,1.0251664810002694,90741.0,75,0.9,1476
150,150,1.0318526400005794,90823.0,75,0.9,1476
151,151,1.0385516549995373,91081.0,75,0.9,1476
152,152,1.0504115570001886,91081.0,75,0.9,1476
153,153,1.0571177450001414,91081.0,75,0.9,1476
154,154,1.063770545000807,91103.0,75,0.9,1476
155,155,1.0704952729993238,91103.0,75,0.9,1476
156,156,1.0771275240003888,91103.0,75,0.9,1476
157,157,1.0837473800002044,91103.0,75,0.9,1476
158,158,1.0904092060009134,91103.0,75,0.9,1476
159,159,1.0971229749993654,91193.0,75,0.9,1476
160,160,1.1043487540009664,91193.0,75,0.9,1476
161,161,1.1111296740000398,91193.0,75,0.9,1476
162,162,1.1178264520003722,91193.0,75,0.9,1476
163,163,1.1245115929996246,91193.0,75,0.9,1476
164,164,1.131152091000331,91193.0,75,0.9,1476
165,165,1.1377776999997877,91193.0,75,0.9,1476
166,166,1.1444432839998626,91193.0,75,0.9,1476
167,167,1.1511431920007453,91193.0,75,0.9,1476
168,168,1.1578145479998057,91193.0,75,0.9,1476
169,169,1.1644362810002349,91193.0,75,0.9,1476
170,170,1.171106244000839,91193.0,75,0.9,1476
171,171,1.1777154980009072,91271.0,75,0.9,1476
172,172,1.1843705440005579,91271.0,75,0.9,1476
173,173,1.1910446920010145,91271.0,75,0.9,1476
174,174,1.1977037550004752,91271.0,75,0.9,1476
175,175,1.204399726999327,91271.0,75,0.9,1476
176,176,1.2110450950003724,91271.0,75,0.9,1476
177,177,1.223216925000088,91271.0,75,0.9,1476
178,178,1.2298399900009827,91293.0,75,0.9,1476
179,179,1.2365276020009333,91293.0,75,0.9,1476
180,180,1.2432172579992766,91293.0,75,0.9,1476
181,181,1.249832838000657,91293.0,75,0.9,1476
182,182,1.2564473260008526,91293.0,75,0.9,1476
183,183,1.263119135001034,91293.0,75,0.9,1476
184,184,1.2697572920005769,91293.0,75,0.9,1476
185,185,1.276355023999713,91293.0,75,0.9,1476
186,186,1.2829332199999044,91293.0,75,0.9,1476
187,187,1.2895719759999338,91293.0,75,0.9,1476
188,188,1.2962092500001745,91434.0,75,0.9,1476
189,189,1.302904538999428,91445.0,75,0.9,1476
190,190,1.3095378889993299,91445.0,75,0.9,1476
191,191,1.3161350610007503,91446.0,75,0.9,1476
192,192,1.3227760089994263,91499.0,75,0.9,1476
193,193,1.329451034000158,91499.0,75,0.9,1476
194,194,1.3361304820009536,91499.0,75,0.9,1476
195,195,1.3428743010008475,91499.0,75,0.9,1476
196,196,1.3495122879994597,91499.0,75,0.9,1476
197,197,1.3561165370010713,91567.0,75,0.9,1476
198,198,1.3627479690003383,91677.0,75,0.9,1476
199,199,1.3694017409998196,91843.0,75,0.9,1476
200,200,1.376038148000589,91843.0,75,0.9,1476
201,201,1.3826490720002766,91843.0,75,0.9,1476
202,202,1.3947418530005962,91843.0,75,0.9,1476
203,203,1.4014341100009915,91843.0,75,0.9,1476
204,204,1.4080924070003675,91843.0,75,0.9,1476
205,205,1.4147303509998892,91843.0,75,0.9,1476
206,206,1.4213686160001089,91843.0,75,0.9,1476
207,207,1.4280008069999894,91843.0,75,0.9,1476
208,208,1.4347164970004087,91843.0,75,0.9,1476
209,209,1.4414377810007863,91843.0,75,0.9,1476
210,210,1.4480660459994397,91843.0,75,0.9,1476
211,211,1.4547116220001044,91843.0,75,0.9,1476
212,212,1.4613611130007484,91970.0,75,0.9,1476
213,213,1.4679845829996339,91970.0,75,0.9,1476
214,214,1.4746098119994713,91970.0,75,0.9,1476
215,215,1.4812499430008756,91970.0,75,0.9,1476
216,216,1.4878708140004164,92160.0,75,0.9,1476
217,217,1.4945157969996217,92240.0,75,0.9,1476
218,218,1.501136303999374,92240.0,75,0.9,1476
219,219,1.50773934100107,92251.0,75,0.9,1476
220,220,1.5143759599995974,92423.0,75,0.9,1476
221,221,1.521080226999402,92423.0,75,0.9,1476
222,222,1.5277141820006364,92467.0,75,0.9,1476
223,223,1.5344511690000218,92483.0,75,0.9,1476
224,224,1.5411603909997211,92483.0,75,0.9,1476
225,225,1.5478678620002029,92732.0,75,0.9,1476
226,226,1.5544954600009078,92732.0,75,0.9,1476
227,227,1.5696120020002127,92732.0,75,0.9,1476
228,228,1.5762792580007954,92732.0,75,0.9,1476
229,229,1.5829026000010344,92732.0,75,0.9,1476
230,230,1.5896381940001447,92732.0,75,0.9,1476
231,231,1.5963473430001613,92732.0,75,0.9,1476
232,232,1.6035190269994928,92732.0,75,0.9,1476
233,233,1.610366052000245,92732.0,75,0.9,1476
234,234,1.6170915189995867,92888.0,75,0.9,1476
235,235,1.6237112849994446,92888.0,75,0.9,1476
236,236,1.6304595710007561,92991.0,75,0.9,1476
237,237,1.6372970789998362,92991.0,75,0.9,1476
238,238,1.643964158000017,93087.0,75,0.9,1476
239,239,1.6506804689997807,93263.0,75,0.9,1476
240,240,1.6573471530009556,93263.0,75,0.9,1476
241,241,1.663996209999823,93263.0,75,0.9,1476
242,242,1.670660695001061,93277.0,75,0.9,1476
243,243,1.6773253369992744,93277.0,75,0.9,1476
244,244,1.6839809419998346,93374.0,75,0.9,1476
245,245,1.6907431519994134,93556.0,75,0.9,1476
246,246,1.6973785190002673,93556.0,75,0.9,1476
247,247,1.7040267350002978,93556.0,75,0.9,1476
248,248,1.7107525009996607,93556.0,75,0.9,1476
249,249,1.7173733420004282,93556.0,75,0.9,1476
250,250,1.7239982490009425,93615.0,75,0.9,1476
251,251,1.7306278060004843,93615.0,75,0.9,1476
252,252,1.7430980509998335,93615.0,75,0.9,1476
253,253,1.7498751000002812,93615.0,75,0.9,1476
254,254,1.7565507849994901,93615.0,75,0.9,1476
255,255,1.763182897999286,93622.0,75,0.9,1476
256,256,1.769967854999777,93885.0,75,0.9,1476
257,257,1.7766028259993618,93885.0,75,0.9,1476
258,258,1.7832274140000663,93885.0,75,0.9,1476
