,Iteration,Fitness,Time,State,schedule_type,schedule_init_temp,schedule_exp_const,schedule_min_temp,schedule_current_value,Temperature,max_iters
10,901,79944.0,0.16586828700019396,"[8, 43, 20, 38, 22, 21, 49, 48, 45, 32, 21, 13, 34, 19, 1, 10, 37, 0, 49, 49, 44, 41, 20, 6, 1, 43, 33, 30, 4, 44, 47, 8, 39, 38, 46, 0, 47, 23, 43, 40, 41, 45, 13, 12, 8, 49, 32, 48, 6, 43, 36, 0, 44, 9, 13, 33, 19, 47, 43, 21, 30, 33, 14, 35, 36, 44, 45, 49, 31, 33, 6, 14, 41, 43, 31, 47, 40, 40, 48, 35, 37, 41, 40, 45, 34, 36, 20, 41, 44, 43, 6, 48, 28, 42, 38, 21, 47, 43, 47, 48]",exponential,500,0.005,0.001,499.5855011867777,500,1901
11,1001,79944.0,0.1903241789987078,"[8, 43, 20, 38, 22, 21, 49, 48, 45, 32, 21, 13, 34, 19, 1, 10, 37, 0, 49, 49, 44, 41, 20, 6, 1, 43, 33, 30, 4, 44, 47, 8, 39, 38, 46, 0, 47, 23, 43, 40, 41, 45, 13, 12, 8, 49, 32, 48, 6, 43, 36, 0, 44, 9, 13, 33, 19, 47, 43, 21, 30, 33, 14, 35, 36, 44, 45, 49, 31, 33, 6, 14, 41, 43, 31, 47, 40, 40, 48, 35, 37, 41, 40, 45, 34, 36, 20, 41, 44, 43, 6, 48, 28, 42, 38, 21, 47, 43, 47, 48]",exponential,500,0.005,0.001,499.524415876288,500,1901
12,1101,79942.0,0.21617896600037056,"[8, 43, 20, 38, 22, 21, 49, 48, 45, 32, 21, 13, 34, 19, 1, 10, 37, 0, 49, 49, 44, 41, 20, 6, 1, 43, 33, 30, 4, 44, 47, 8, 39, 38, 46, 0, 47, 22, 43, 40, 41, 45, 13, 12, 8, 49, 32, 48, 6, 43, 36, 0, 44, 9, 13, 33, 19, 47, 43, 21, 30, 33, 14, 35, 36, 44, 45, 49, 31, 33, 6, 14, 41, 43, 31, 47, 40, 40, 48, 35, 37, 41, 40, 45, 34, 36, 20, 41, 44, 43, 6, 48, 28, 42, 38, 21, 47, 43, 47, 48]",exponential,500,0.005,0.001,499.45984456319877,500,1901
13,1201,79980.0,0.24360535300002084,"[8, 43, 20, 38, 22, 21, 49, 48, 45, 32, 21, 13, 34, 19, 1, 10, 37, 0, 49, 49, 44, 41, 20, 6, 1, 43, 33, 30, 4, 44, 47, 8, 39, 38, 46, 0, 47, 24, 43, 40, 41, 45, 13, 12, 8, 49, 32, 48, 6, 43, 36, 0, 44, 9, 13, 33, 19, 47, 43, 21, 30, 33, 14, 35, 36, 44, 45, 49, 32, 33, 6, 14, 41, 43, 31, 47, 40, 40, 48, 35, 37, 41, 40, 45, 34, 36, 20, 41, 44, 43, 6, 48, 28, 42, 38, 21, 47, 43, 47, 48]",exponential,500,0.005,0.001,499.3913573642583,500,1901
14,1301,79980.0,0.27227456999935384,"[8, 43, 20, 38, 22, 21, 49, 48, 45, 32, 21, 13, 34, 19, 1, 10, 37, 0, 49, 49, 44, 41, 20, 6, 1, 43, 33, 30, 4, 44, 47, 8, 39, 38, 46, 0, 47, 24, 43, 40, 41, 45, 13, 12, 8, 49, 32, 48, 6, 43, 36, 0, 44, 9, 13, 33, 19, 47, 43, 21, 30, 33, 14, 35, 36, 44, 45, 49, 32, 33, 6, 14, 41, 43, 31, 47, 40, 40, 48, 35, 37, 41, 40, 45, 34, 36, 20, 41, 44, 43, 6, 48, 28, 42, 38, 21, 47, 43, 47, 48]",exponential,500,0.005,0.001,499.31977669882554,500,1901
15,1401,79980.0,0.30207918399901246,"[8, 43, 20, 38, 22, 21, 49, 48, 45, 32, 21, 13, 34, 19, 1, 10, 37, 0, 49, 49, 44, 41, 20, 6, 1, 43, 33, 30, 4, 44, 47, 8, 39, 38, 46, 0, 47, 24, 43, 40, 41, 45, 13, 12, 8, 49, 32, 48, 6, 43, 36, 0, 44, 9, 13, 33, 19, 47, 43, 21, 30, 33, 14, 35, 36, 44, 45, 49, 32, 33, 6, 14, 41, 43, 31, 47, 40, 40, 48, 35, 37, 41, 40, 45, 34, 36, 20, 41, 44, 43, 6, 48, 28, 42, 38, 21, 47, 43, 47, 48]",exponential,500,0.005,0.001,499.2453720769313,500,1901
16,1501,79980.0,0.3341702340003394,"[8, 43, 20, 38, 22, 21, 49, 48, 45, 32, 21, 13, 34, 19, 1, 10, 37, 0, 49, 49, 44, 41, 20, 6, 1, 43, 33, 30, 4, 44, 47, 8, 39, 38, 46, 0, 47, 24, 43, 40, 41, 45, 13, 12, 8, 49, 32, 48, 6, 43, 36, 0, 44, 9, 13, 33, 19, 47, 43, 21, 30, 33, 14, 35, 36, 44, 45, 49, 32, 33, 6, 14, 41, 43, 31, 47, 40, 40, 48, 35, 37, 41, 40, 45, 34, 36, 20, 41, 44, 43, 6, 48, 28, 42, 38, 21, 47, 43, 47, 48]",exponential,500,0.005,0.001,499.16527196235387,500,1901
17,1601,79980.0,0.36690793100024166,"[8, 43, 20, 38, 22, 21, 49, 48, 45, 32, 21, 13, 34, 19, 1, 10, 37, 0, 49, 49, 44, 41, 20, 6, 1, 43, 33, 30, 4, 44, 47, 8, 39, 38, 46, 0, 47, 24, 43, 40, 41, 45, 13, 12, 8, 49, 32, 48, 6, 43, 36, 0, 44, 9, 13, 33, 19, 47, 43, 21, 30, 33, 14, 35, 36, 44, 45, 49, 32, 33, 6, 14, 41, 43, 31, 47, 40, 40, 48, 35, 37, 41, 40, 45, 34, 36, 20, 41, 44, 43, 6, 48, 28, 42, 38, 21, 47, 43, 47, 48]",exponential,500,0.005,0.001,499.08357104215435,500,1901
18,1701,79980.0,0.40157869500035304,"[8, 43, 20, 38, 22, 21, 49, 48, 45, 32, 21, 13, 34, 19, 1, 10, 37, 0, 49, 49, 44, 41, 20, 6, 1, 43, 33, 30, 4, 44, 47, 8, 39, 38, 46, 0, 47, 24, 43, 40, 41, 45, 13, 12, 8, 49, 32, 48, 6, 43, 36, 0, 44, 9, 13, 33, 19, 47, 43, 21, 30, 33, 14, 35, 36, 44, 45, 49, 32, 33, 6, 14, 41, 43, 31, 47, 40, 40, 48, 35, 37, 41, 40, 45, 34, 36, 20, 41, 44, 43, 6, 48, 28, 42, 38, 21, 47, 43, 47, 48]",exponential,500,0.005,0.001,498.99706049729804,500,1901
19,1801,79980.0,0.436761259999912,"[8, 43, 20, 38, 22, 21, 49, 48, 45, 32, 21, 13, 34, 19, 1, 10, 37, 0, 49, 49, 44, 41, 20, 6, 1, 43, 33, 30, 4, 44, 47, 8, 39, 38, 46, 0, 47, 24, 43, 40, 41, 45, 13, 12, 8, 49, 32, 48, 6, 43, 36, 0, 44, 9, 13, 33, 19, 47, 43, 21, 30, 33, 14, 35, 36, 44, 45, 49, 32, 33, 6, 14, 41, 43, 31, 47, 40, 40, 48, 35, 37, 41, 40, 45, 34, 36, 20, 41, 44, 43, 6, 48, 28, 42, 38, 21, 47, 43, 47, 48]",exponential,500,0.005,0.001,498.90928823507994,500,1901
20,1901,79986.0,0.4733250030003546,"[8, 43, 20, 38, 22, 21, 49, 48, 45, 32, 21, 13, 34, 19, 1, 10, 37, 0, 49, 49, 44, 41, 20, 6, 1, 43, 33, 30, 4, 44, 47, 8, 39, 38, 46, 0, 47, 27, 43, 40, 41, 45, 13, 12, 8, 49, 32, 48, 6, 43, 36, 0, 44, 9, 13, 33, 19, 47, 43, 21, 30, 33, 14, 35, 36, 44, 45, 49, 32, 33, 6, 14, 41, 43, 31, 47, 40, 40, 48, 35, 37, 41, 40, 45, 34, 36, 20, 41, 44, 43, 6, 48, 28, 42, 38, 21, 47, 43, 47, 48]",exponential,500,0.005,0.001,498.8180866170375,500,1901
