,Iteration,Fitness,Time,State,schedule_type,schedule_init_temp,schedule_exp_const,schedule_min_temp,schedule_current_value,Temperature,max_iters
0,0,53586.0,9.409599988430273e-05,"[25, 29, 37, 22, 48, 24, 12, 9, 5, 18, 25, 11, 20, 35, 38, 26, 23, 27, 9, 45, 26, 23, 35, 11, 6, 14, 12, 16, 22, 42, 47, 16, 28, 35, 21, 12, 32, 37, 21, 5, 32, 39, 9, 44, 13, 31, 8, 40, 13, 1, 43, 43, 29, 8, 14, 46, 48, 2, 6, 33, 41, 11, 33, 23, 9, 6, 15, 35, 15, 18, 11, 20, 31, 40, 43, 17, 29, 17, 7, 24, 21, 21, 36, 5, 33, 34, 13, 10, 7, 6, 32, 27, 17, 21, 32, 23, 43, 21, 46, 4]",exponential,5000,0.005,0.001,4999.997647600557,5000,1901
1,1,53858.0,0.0005351109994080616,"[25, 29, 37, 22, 48, 24, 12, 9, 5, 18, 25, 11, 20, 35, 38, 26, 23, 27, 9, 45, 26, 23, 35, 11, 6, 14, 12, 16, 22, 42, 47, 16, 28, 35, 21, 12, 32, 37, 21, 5, 32, 39, 9, 44, 13, 31, 8, 40, 13, 1, 43, 43, 29, 8, 14, 46, 48, 2, 6, 33, 41, 11, 33, 23, 9, 6, 15, 35, 15, 18, 11, 20, 31, 40, 43, 17, 29, 17, 7, 24, 21, 21, 36, 5, 33, 34, 13, 10, 7, 40, 32, 27, 17, 21, 32, 23, 43, 21, 46, 4]",exponential,5000,0.005,0.001,4999.986622242911,5000,1901
2,101,59667.0,0.014486899000985431,"[25, 18, 37, 8, 48, 4, 16, 9, 11, 18, 25, 11, 43, 35, 38, 43, 46, 47, 9, 45, 7, 23, 34, 11, 15, 39, 12, 16, 5, 4, 46, 16, 33, 38, 39, 12, 2, 22, 12, 5, 35, 39, 9, 44, 43, 29, 7, 40, 13, 1, 43, 43, 30, 16, 30, 38, 48, 38, 46, 33, 0, 24, 33, 2, 9, 6, 15, 48, 19, 18, 11, 29, 45, 40, 48, 9, 46, 1, 1, 24, 40, 21, 0, 22, 35, 29, 13, 10, 5, 47, 32, 35, 41, 27, 29, 23, 43, 27, 44, 19]",exponential,5000,0.005,0.001,4999.637840641549,5000,1901
3,201,67208.0,0.029889872999774525,"[25, 18, 33, 8, 48, 4, 39, 18, 11, 28, 20, 11, 43, 35, 38, 23, 46, 18, 9, 45, 21, 20, 34, 31, 15, 47, 12, 31, 28, 4, 46, 18, 3, 11, 39, 12, 6, 7, 48, 34, 35, 39, 9, 20, 18, 29, 7, 20, 23, 43, 43, 12, 41, 45, 30, 49, 48, 38, 46, 6, 0, 36, 34, 43, 20, 49, 31, 48, 19, 20, 19, 29, 45, 7, 48, 1, 30, 1, 14, 35, 40, 42, 22, 22, 18, 29, 20, 42, 5, 0, 32, 30, 37, 27, 45, 27, 48, 27, 44, 19]",exponential,5000,0.005,0.001,4999.252809010006,5000,1901
4,301,66612.0,0.0472757850002381,"[25, 14, 37, 33, 36, 26, 31, 18, 11, 42, 20, 11, 43, 47, 38, 23, 46, 49, 9, 45, 21, 36, 24, 31, 21, 47, 33, 22, 2, 4, 46, 18, 17, 11, 18, 6, 36, 7, 48, 0, 35, 36, 9, 6, 35, 37, 7, 32, 22, 42, 30, 37, 41, 38, 5, 26, 48, 38, 49, 6, 0, 15, 4, 38, 20, 49, 12, 14, 43, 42, 19, 10, 45, 31, 48, 36, 30, 1, 19, 12, 40, 38, 22, 39, 18, 29, 15, 42, 30, 39, 32, 29, 37, 9, 42, 41, 13, 27, 48, 25]",exponential,5000,0.005,0.001,4998.818245051479,5000,1901
5,401,71823.0,0.0652272660008748,"[19, 12, 25, 3, 11, 7, 31, 28, 11, 9, 20, 24, 43, 47, 38, 2, 30, 49, 35, 45, 21, 29, 24, 31, 16, 47, 33, 49, 4, 44, 22, 13, 29, 27, 36, 25, 36, 21, 41, 22, 35, 44, 16, 6, 35, 37, 49, 32, 22, 43, 30, 1, 41, 38, 13, 27, 48, 38, 47, 6, 44, 15, 4, 47, 38, 48, 2, 14, 43, 42, 34, 39, 45, 18, 48, 33, 30, 1, 19, 12, 40, 38, 22, 39, 3, 29, 15, 6, 41, 4, 14, 29, 37, 34, 42, 41, 3, 27, 48, 42]",exponential,5000,0.005,0.001,4998.369584233337,5000,1901
6,501,76920.0,0.08448186600071494,"[6, 41, 25, 3, 30, 7, 31, 24, 11, 9, 4, 27, 43, 44, 22, 2, 30, 29, 35, 48, 9, 35, 24, 31, 34, 47, 34, 7, 4, 44, 22, 13, 29, 27, 36, 25, 36, 32, 41, 22, 35, 44, 41, 45, 35, 37, 49, 32, 22, 21, 46, 32, 38, 20, 49, 26, 48, 38, 47, 39, 38, 44, 30, 47, 47, 48, 2, 33, 27, 42, 21, 19, 45, 18, 48, 33, 43, 1, 41, 20, 40, 38, 22, 5, 27, 8, 45, 26, 41, 4, 14, 29, 37, 34, 43, 41, 6, 27, 48, 42]",exponential,5000,0.005,0.001,4997.888399361285,5000,1901
7,601,79894.0,0.10522157000013976,"[6, 41, 13, 43, 44, 5, 19, 24, 13, 8, 4, 27, 18, 44, 40, 2, 30, 29, 35, 48, 8, 41, 30, 31, 36, 47, 27, 7, 45, 44, 22, 46, 29, 27, 48, 10, 36, 32, 42, 22, 34, 44, 41, 45, 35, 49, 39, 9, 22, 12, 46, 24, 32, 43, 10, 26, 48, 38, 37, 12, 38, 44, 49, 47, 47, 48, 2, 33, 27, 42, 21, 19, 45, 18, 48, 44, 43, 1, 41, 21, 40, 38, 43, 48, 27, 7, 45, 28, 0, 4, 7, 29, 37, 34, 43, 41, 5, 37, 44, 42]",exponential,5000,0.005,0.001,4997.370152602336,5000,1901
8,701,78983.0,0.12701062499945692,"[6, 41, 12, 43, 28, 45, 17, 24, 20, 23, 25, 33, 8, 44, 40, 2, 30, 38, 35, 48, 42, 37, 25, 31, 16, 47, 27, 30, 45, 44, 22, 31, 10, 27, 44, 10, 33, 32, 42, 22, 33, 44, 41, 1, 35, 49, 39, 0, 34, 12, 46, 24, 32, 43, 10, 35, 48, 38, 36, 12, 38, 44, 49, 47, 43, 48, 2, 33, 27, 30, 21, 40, 12, 33, 48, 44, 43, 1, 41, 23, 42, 24, 43, 30, 27, 21, 43, 48, 0, 4, 2, 24, 30, 34, 43, 44, 5, 37, 44, 42]",exponential,5000,0.005,0.001,4996.8257423928,5000,1901
9,801,81178.0,0.14925957299965376,"[6, 41, 12, 43, 4, 45, 24, 24, 20, 38, 37, 33, 8, 44, 40, 2, 44, 38, 34, 48, 42, 49, 25, 31, 16, 47, 27, 30, 45, 44, 36, 35, 10, 27, 44, 17, 33, 32, 42, 22, 33, 44, 41, 3, 46, 49, 39, 0, 34, 12, 46, 24, 40, 43, 10, 37, 48, 38, 25, 12, 38, 44, 44, 47, 43, 48, 2, 33, 27, 39, 21, 40, 17, 33, 48, 44, 43, 1, 41, 28, 42, 24, 43, 30, 27, 21, 43, 41, 0, 4, 2, 24, 30, 34, 43, 44, 5, 37, 44, 42]",exponential,5000,0.005,0.001,4996.2699027299495,5000,1901
