,Iteration,Fitness,Time,State,Population Size,Mutation Rate,max_iters
0,0,55008.0,0.0019093480077572167,"[25, 16, 27, 17, 13, 12, 33, 7, 18, 24, 45, 28, 48, 32, 45, 44, 4, 34, 12, 1, 10, 37, 39, 20, 17, 27, 24, 17, 3, 6, 43, 0, 15, 32, 23, 27, 6, 25, 43, 10, 27, 44, 14, 7, 15, 0, 40, 48, 27, 31, 5, 7, 35, 1, 48, 3, 8, 23, 17, 4, 8, 32, 14, 19, 25, 26, 38, 17, 43, 18, 48, 10, 47, 46, 32, 44, 40, 8, 4, 33, 1, 31, 41, 11, 34, 8, 19, 32, 20, 18, 45, 8, 38, 39, 34, 31, 36, 4, 28, 13]",50,0.3,776
1,1,66325.0,0.006923808017745614,"[49, 33, 17, 17, 6, 16, 35, 6, 15, 48, 40, 10, 24, 45, 27, 33, 36, 38, 41, 39, 26, 28, 32, 46, 30, 49, 22, 34, 25, 46, 29, 11, 45, 32, 39, 34, 22, 18, 34, 17, 42, 10, 26, 21, 5, 39, 43, 41, 47, 34, 46, 37, 0, 41, 32, 26, 42, 23, 40, 8, 41, 31, 37, 2, 15, 45, 37, 37, 6, 19, 18, 37, 30, 41, 31, 27, 47, 44, 32, 18, 28, 5, 26, 32, 45, 2, 26, 9, 30, 10, 18, 0, 19, 17, 25, 19, 5, 2, 46, 17]",50,0.3,776
2,26,78107.0,0.12152603702270426,"[22, 33, 31, 13, 29, 18, 17, 35, 37, 9, 9, 11, 32, 16, 25, 42, 43, 12, 43, 34, 6, 28, 32, 46, 30, 49, 22, 34, 25, 46, 15, 44, 10, 11, 39, 46, 9, 9, 19, 38, 39, 29, 45, 26, 19, 39, 43, 48, 40, 40, 46, 4, 37, 2, 9, 48, 15, 41, 20, 20, 11, 49, 42, 11, 12, 14, 33, 48, 45, 38, 49, 49, 37, 40, 16, 42, 21, 4, 49, 25, 31, 13, 44, 48, 15, 33, 17, 5, 35, 43, 40, 41, 42, 22, 46, 36, 31, 49, 37, 32]",50,0.3,776
3,51,83393.0,0.23408544700942002,"[22, 33, 31, 13, 29, 18, 17, 35, 37, 45, 9, 11, 48, 16, 25, 42, 43, 12, 43, 34, 6, 48, 32, 46, 30, 49, 22, 34, 25, 46, 15, 44, 10, 45, 39, 46, 9, 9, 19, 38, 39, 29, 45, 26, 19, 39, 43, 48, 40, 40, 46, 4, 37, 2, 9, 48, 15, 41, 20, 20, 11, 49, 42, 11, 12, 45, 33, 48, 45, 38, 49, 49, 37, 40, 36, 42, 21, 4, 49, 25, 39, 34, 47, 5, 36, 46, 25, 9, 21, 16, 33, 41, 42, 22, 46, 36, 31, 49, 37, 32]",50,0.3,776
4,76,84479.0,0.34811299201101065,"[22, 33, 31, 30, 29, 18, 17, 35, 48, 45, 9, 11, 48, 16, 25, 42, 43, 12, 43, 34, 6, 48, 32, 46, 30, 49, 22, 34, 25, 46, 15, 44, 10, 45, 39, 46, 9, 9, 19, 38, 42, 25, 45, 26, 19, 39, 43, 48, 40, 40, 46, 4, 37, 2, 9, 48, 23, 41, 20, 3, 11, 49, 42, 11, 23, 45, 33, 48, 45, 38, 49, 49, 37, 40, 36, 42, 21, 4, 49, 25, 39, 34, 47, 5, 36, 46, 25, 9, 21, 16, 33, 41, 42, 22, 46, 36, 31, 49, 37, 32]",50,0.3,776
5,101,85563.0,0.4623077300202567,"[22, 40, 31, 44, 29, 18, 17, 35, 48, 45, 9, 11, 48, 16, 25, 42, 43, 12, 43, 34, 6, 48, 32, 46, 26, 49, 22, 34, 25, 46, 15, 44, 10, 45, 39, 46, 9, 9, 19, 38, 42, 25, 45, 26, 19, 39, 43, 48, 40, 40, 46, 4, 37, 2, 9, 48, 23, 41, 20, 3, 11, 49, 42, 11, 23, 45, 33, 48, 45, 38, 49, 49, 37, 40, 45, 48, 21, 4, 49, 25, 39, 34, 47, 5, 36, 46, 38, 9, 34, 16, 5, 41, 42, 22, 46, 36, 31, 49, 37, 32]",50,0.3,776
6,126,86583.0,0.5774262050108518,"[22, 40, 31, 44, 7, 18, 17, 35, 48, 45, 9, 11, 48, 16, 25, 42, 43, 12, 43, 34, 6, 48, 32, 46, 26, 49, 22, 34, 25, 46, 15, 44, 10, 45, 39, 46, 46, 9, 19, 38, 42, 25, 45, 15, 19, 39, 43, 48, 40, 40, 46, 4, 37, 2, 9, 48, 23, 41, 20, 3, 11, 49, 42, 15, 23, 49, 33, 48, 45, 38, 49, 49, 30, 40, 45, 48, 49, 4, 49, 25, 39, 34, 47, 5, 36, 46, 38, 9, 34, 16, 5, 41, 42, 22, 46, 36, 31, 49, 37, 32]",50,0.3,776
7,151,87967.0,0.6913338500016835,"[22, 40, 31, 44, 7, 18, 17, 35, 48, 45, 9, 4, 48, 34, 25, 42, 43, 12, 43, 34, 6, 48, 32, 46, 26, 49, 22, 34, 25, 46, 35, 44, 10, 45, 39, 46, 46, 9, 19, 38, 42, 25, 45, 15, 41, 39, 43, 48, 40, 40, 46, 4, 44, 2, 9, 48, 23, 41, 20, 3, 11, 49, 42, 15, 23, 49, 33, 48, 45, 38, 49, 49, 30, 40, 45, 48, 49, 4, 49, 25, 39, 34, 47, 5, 36, 46, 38, 9, 19, 16, 5, 41, 42, 22, 46, 36, 31, 49, 37, 32]",50,0.3,776
8,176,88551.0,0.8058425390045159,"[22, 40, 31, 44, 7, 18, 17, 35, 48, 45, 9, 4, 48, 34, 25, 42, 43, 12, 43, 34, 6, 48, 32, 46, 26, 49, 22, 34, 25, 46, 35, 44, 10, 45, 39, 46, 46, 9, 19, 38, 42, 25, 45, 15, 41, 39, 43, 48, 40, 40, 46, 4, 44, 2, 9, 48, 23, 49, 20, 3, 11, 49, 42, 15, 23, 49, 33, 48, 45, 38, 49, 49, 30, 40, 45, 48, 49, 4, 49, 25, 39, 34, 47, 5, 36, 46, 38, 9, 19, 16, 5, 41, 42, 22, 46, 36, 31, 49, 37, 36]",50,0.3,776
9,201,89229.0,0.9207852210092824,"[22, 40, 25, 44, 7, 18, 17, 35, 48, 45, 9, 4, 48, 34, 25, 42, 43, 32, 43, 34, 6, 48, 32, 46, 26, 49, 22, 34, 25, 46, 35, 44, 10, 45, 39, 46, 47, 9, 19, 38, 42, 25, 45, 15, 41, 39, 43, 48, 3, 40, 46, 4, 44, 2, 9, 48, 23, 49, 20, 3, 11, 49, 42, 15, 23, 49, 33, 48, 45, 38, 49, 49, 49, 40, 45, 48, 49, 4, 49, 25, 39, 34, 47, 5, 36, 46, 38, 9, 19, 16, 5, 41, 42, 22, 46, 36, 31, 49, 37, 36]",50,0.3,776
