,Iteration,Fitness,Time,State,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,106881.0,0.005610125983366743,"[21, 36, 15, 0, 34, 43, 14, 41, 23, 22, 36, 26, 47, 49, 24, 12, 2, 43, 11, 46, 16, 38, 33, 25, 10, 31, 28, 37, 34, 15, 28, 25, 19, 5, 41, 2, 10, 1, 16, 13, 20, 38, 44, 32, 8, 29, 30, 36, 14, 15, 32, 17, 11, 49, 29, 44, 14, 30, 25, 29, 10, 18, 1, 31, 31, 3, 34, 32, 3, 48, 21, 24, 16, 8, 28, 16, 41, 43, 30, 29, 32, 42, 39, 31, 1, 43, 37, 16, 27, 22, 8, 2, 13, 40, 23, 22, 48, 19, 39, 20, 5, 48, 46, 26, 49, 33, 39, 47, 36, 29, 33, 23, 24, 29, 27, 22, 34, 26, 21, 32, 8, 15, 48, 37, 39, 24, 39, 32, 26, 26, 27, 15, 31, 1, 19, 47, 19, 2, 5, 49, 5, 33, 27, 14, 20, 9, 39, 22, 23, 23]",True,150,0.6,49
1,1,112546.0,10.196403620007914,"[18.0, 10.0, 23.0, 3.0, 43.0, 16.0, 19.0, 7.0, 31.0, 28.0, 3.0, 38.0, 41.0, 42.0, 7.0, 47.0, 2.0, 42.0, 28.0, 16.0, 3.0, 27.0, 38.0, 28.0, 0.0, 49.0, 37.0, 32.0, 19.0, 4.0, 48.0, 27.0, 35.0, 39.0, 9.0, 47.0, 8.0, 14.0, 26.0, 23.0, 29.0, 15.0, 13.0, 28.0, 2.0, 11.0, 24.0, 33.0, 14.0, 9.0, 12.0, 47.0, 33.0, 41.0, 24.0, 24.0, 38.0, 12.0, 21.0, 10.0, 5.0, 6.0, 48.0, 46.0, 30.0, 11.0, 34.0, 26.0, 38.0, 35.0, 41.0, 21.0, 1.0, 33.0, 46.0, 42.0, 25.0, 38.0, 14.0, 44.0, 35.0, 40.0, 22.0, 32.0, 40.0, 7.0, 41.0, 18.0, 29.0, 21.0, 21.0, 13.0, 42.0, 35.0, 35.0, 7.0, 2.0, 7.0, 18.0, 32.0, 16.0, 35.0, 30.0, 7.0, 45.0, 25.0, 2.0, 32.0, 43.0, 33.0, 36.0, 41.0, 22.0, 29.0, 30.0, 42.0, 17.0, 47.0, 22.0, 48.0, 39.0, 25.0, 44.0, 16.0, 33.0, 5.0, 1.0, 17.0, 12.0, 10.0, 20.0, 32.0, 38.0, 2.0, 18.0, 34.0, 20.0, 32.0, 47.0, 49.0, 36.0, 45.0, 41.0, 47.0, 32.0, 47.0, 24.0, 28.0, 49.0, 24.0]",True,150,0.6,49
2,2,116919.0,19.939054482994834,"[45.0, 32.0, 1.0, 6.0, 41.0, 41.0, 46.0, 34.0, 4.0, 31.0, 22.0, 45.0, 16.0, 45.0, 39.0, 0.0, 44.0, 8.0, 43.0, 34.0, 47.0, 47.0, 21.0, 25.0, 49.0, 25.0, 40.0, 35.0, 45.0, 42.0, 43.0, 23.0, 34.0, 12.0, 45.0, 3.0, 46.0, 41.0, 40.0, 16.0, 48.0, 7.0, 3.0, 39.0, 24.0, 19.0, 45.0, 37.0, 28.0, 31.0, 40.0, 7.0, 31.0, 15.0, 49.0, 48.0, 3.0, 2.0, 3.0, 39.0, 47.0, 44.0, 49.0, 19.0, 30.0, 16.0, 29.0, 23.0, 23.0, 31.0, 46.0, 10.0, 36.0, 16.0, 40.0, 30.0, 7.0, 3.0, 31.0, 32.0, 3.0, 8.0, 26.0, 40.0, 4.0, 30.0, 16.0, 1.0, 7.0, 2.0, 48.0, 14.0, 6.0, 49.0, 42.0, 34.0, 33.0, 21.0, 40.0, 19.0, 49.0, 47.0, 13.0, 32.0, 28.0, 12.0, 36.0, 6.0, 27.0, 13.0, 49.0, 39.0, 33.0, 45.0, 22.0, 6.0, 27.0, 42.0, 38.0, 47.0, 11.0, 49.0, 42.0, 35.0, 35.0, 32.0, 16.0, 16.0, 34.0, 11.0, 44.0, 17.0, 12.0, 45.0, 40.0, 49.0, 48.0, 32.0, 26.0, 47.0, 8.0, 44.0, 49.0, 11.0, 11.0, 42.0, 32.0, 28.0, 6.0, 23.0]",True,150,0.6,49
3,3,119793.0,29.34421152100549,"[46.0, 24.0, 1.0, 6.0, 39.0, 41.0, 14.0, 34.0, 19.0, 31.0, 22.0, 43.0, 48.0, 48.0, 18.0, 37.0, 16.0, 8.0, 43.0, 22.0, 47.0, 20.0, 35.0, 29.0, 49.0, 47.0, 40.0, 35.0, 45.0, 42.0, 43.0, 23.0, 44.0, 12.0, 45.0, 29.0, 46.0, 41.0, 40.0, 16.0, 48.0, 42.0, 3.0, 39.0, 24.0, 19.0, 48.0, 37.0, 28.0, 6.0, 40.0, 31.0, 31.0, 15.0, 49.0, 28.0, 3.0, 2.0, 3.0, 47.0, 47.0, 44.0, 49.0, 19.0, 30.0, 24.0, 29.0, 23.0, 46.0, 45.0, 46.0, 10.0, 36.0, 16.0, 49.0, 30.0, 49.0, 3.0, 22.0, 18.0, 14.0, 8.0, 15.0, 24.0, 4.0, 14.0, 7.0, 1.0, 7.0, 10.0, 48.0, 14.0, 23.0, 43.0, 42.0, 26.0, 33.0, 21.0, 19.0, 31.0, 28.0, 47.0, 44.0, 32.0, 47.0, 33.0, 44.0, 6.0, 27.0, 8.0, 49.0, 33.0, 38.0, 45.0, 22.0, 6.0, 15.0, 42.0, 48.0, 28.0, 43.0, 49.0, 42.0, 35.0, 35.0, 32.0, 19.0, 31.0, 47.0, 11.0, 24.0, 30.0, 12.0, 45.0, 40.0, 49.0, 29.0, 10.0, 26.0, 48.0, 8.0, 47.0, 49.0, 11.0, 11.0, 42.0, 32.0, 5.0, 6.0, 23.0]",True,150,0.6,49
4,4,119793.0,38.74745498600532,"[46.0, 24.0, 1.0, 6.0, 39.0, 41.0, 14.0, 34.0, 19.0, 31.0, 22.0, 43.0, 48.0, 48.0, 18.0, 37.0, 16.0, 8.0, 43.0, 22.0, 47.0, 20.0, 35.0, 29.0, 49.0, 47.0, 40.0, 35.0, 45.0, 42.0, 43.0, 23.0, 44.0, 12.0, 45.0, 29.0, 46.0, 41.0, 40.0, 16.0, 48.0, 42.0, 3.0, 39.0, 24.0, 19.0, 48.0, 37.0, 28.0, 6.0, 40.0, 31.0, 31.0, 15.0, 49.0, 28.0, 3.0, 2.0, 3.0, 47.0, 47.0, 44.0, 49.0, 19.0, 30.0, 24.0, 29.0, 23.0, 46.0, 45.0, 46.0, 10.0, 36.0, 16.0, 49.0, 30.0, 49.0, 3.0, 22.0, 18.0, 14.0, 8.0, 15.0, 24.0, 4.0, 14.0, 7.0, 1.0, 7.0, 10.0, 48.0, 14.0, 23.0, 43.0, 42.0, 26.0, 33.0, 21.0, 19.0, 31.0, 28.0, 47.0, 44.0, 32.0, 47.0, 33.0, 44.0, 6.0, 27.0, 8.0, 49.0, 33.0, 38.0, 45.0, 22.0, 6.0, 15.0, 42.0, 48.0, 28.0, 43.0, 49.0, 42.0, 35.0, 35.0, 32.0, 19.0, 31.0, 47.0, 11.0, 24.0, 30.0, 12.0, 45.0, 40.0, 49.0, 29.0, 10.0, 26.0, 48.0, 8.0, 47.0, 49.0, 11.0, 11.0, 42.0, 32.0, 5.0, 6.0, 23.0]",True,150,0.6,49
5,5,119793.0,47.91351848398335,"[46.0, 24.0, 1.0, 6.0, 39.0, 41.0, 14.0, 34.0, 19.0, 31.0, 22.0, 43.0, 48.0, 48.0, 18.0, 37.0, 16.0, 8.0, 43.0, 22.0, 47.0, 20.0, 35.0, 29.0, 49.0, 47.0, 40.0, 35.0, 45.0, 42.0, 43.0, 23.0, 44.0, 12.0, 45.0, 29.0, 46.0, 41.0, 40.0, 16.0, 48.0, 42.0, 3.0, 39.0, 24.0, 19.0, 48.0, 37.0, 28.0, 6.0, 40.0, 31.0, 31.0, 15.0, 49.0, 28.0, 3.0, 2.0, 3.0, 47.0, 47.0, 44.0, 49.0, 19.0, 30.0, 24.0, 29.0, 23.0, 46.0, 45.0, 46.0, 10.0, 36.0, 16.0, 49.0, 30.0, 49.0, 3.0, 22.0, 18.0, 14.0, 8.0, 15.0, 24.0, 4.0, 14.0, 7.0, 1.0, 7.0, 10.0, 48.0, 14.0, 23.0, 43.0, 42.0, 26.0, 33.0, 21.0, 19.0, 31.0, 28.0, 47.0, 44.0, 32.0, 47.0, 33.0, 44.0, 6.0, 27.0, 8.0, 49.0, 33.0, 38.0, 45.0, 22.0, 6.0, 15.0, 42.0, 48.0, 28.0, 43.0, 49.0, 42.0, 35.0, 35.0, 32.0, 19.0, 31.0, 47.0, 11.0, 24.0, 30.0, 12.0, 45.0, 40.0, 49.0, 29.0, 10.0, 26.0, 48.0, 8.0, 47.0, 49.0, 11.0, 11.0, 42.0, 32.0, 5.0, 6.0, 23.0]",True,150,0.6,49
6,6,119793.0,57.111844722996466,"[46.0, 24.0, 1.0, 6.0, 39.0, 41.0, 14.0, 34.0, 19.0, 31.0, 22.0, 43.0, 48.0, 48.0, 18.0, 37.0, 16.0, 8.0, 43.0, 22.0, 47.0, 20.0, 35.0, 29.0, 49.0, 47.0, 40.0, 35.0, 45.0, 42.0, 43.0, 23.0, 44.0, 12.0, 45.0, 29.0, 46.0, 41.0, 40.0, 16.0, 48.0, 42.0, 3.0, 39.0, 24.0, 19.0, 48.0, 37.0, 28.0, 6.0, 40.0, 31.0, 31.0, 15.0, 49.0, 28.0, 3.0, 2.0, 3.0, 47.0, 47.0, 44.0, 49.0, 19.0, 30.0, 24.0, 29.0, 23.0, 46.0, 45.0, 46.0, 10.0, 36.0, 16.0, 49.0, 30.0, 49.0, 3.0, 22.0, 18.0, 14.0, 8.0, 15.0, 24.0, 4.0, 14.0, 7.0, 1.0, 7.0, 10.0, 48.0, 14.0, 23.0, 43.0, 42.0, 26.0, 33.0, 21.0, 19.0, 31.0, 28.0, 47.0, 44.0, 32.0, 47.0, 33.0, 44.0, 6.0, 27.0, 8.0, 49.0, 33.0, 38.0, 45.0, 22.0, 6.0, 15.0, 42.0, 48.0, 28.0, 43.0, 49.0, 42.0, 35.0, 35.0, 32.0, 19.0, 31.0, 47.0, 11.0, 24.0, 30.0, 12.0, 45.0, 40.0, 49.0, 29.0, 10.0, 26.0, 48.0, 8.0, 47.0, 49.0, 11.0, 11.0, 42.0, 32.0, 5.0, 6.0, 23.0]",True,150,0.6,49
7,7,121653.0,66.2315581679868,"[45.0, 31.0, 1.0, 6.0, 39.0, 33.0, 46.0, 34.0, 19.0, 31.0, 44.0, 45.0, 13.0, 48.0, 18.0, 37.0, 44.0, 28.0, 43.0, 34.0, 23.0, 47.0, 18.0, 29.0, 45.0, 25.0, 40.0, 35.0, 45.0, 42.0, 43.0, 23.0, 34.0, 12.0, 43.0, 29.0, 14.0, 45.0, 40.0, 24.0, 48.0, 42.0, 44.0, 46.0, 7.0, 29.0, 45.0, 37.0, 28.0, 31.0, 40.0, 8.0, 31.0, 9.0, 49.0, 48.0, 37.0, 2.0, 3.0, 49.0, 20.0, 23.0, 44.0, 10.0, 43.0, 28.0, 29.0, 23.0, 46.0, 41.0, 46.0, 38.0, 19.0, 13.0, 49.0, 6.0, 30.0, 3.0, 45.0, 18.0, 9.0, 8.0, 15.0, 40.0, 28.0, 30.0, 7.0, 41.0, 7.0, 19.0, 18.0, 14.0, 30.0, 49.0, 42.0, 34.0, 33.0, 21.0, 19.0, 19.0, 47.0, 47.0, 44.0, 32.0, 47.0, 39.0, 36.0, 49.0, 26.0, 17.0, 49.0, 33.0, 38.0, 45.0, 22.0, 28.0, 27.0, 42.0, 40.0, 6.0, 11.0, 41.0, 42.0, 38.0, 3.0, 40.0, 38.0, 19.0, 34.0, 11.0, 44.0, 12.0, 12.0, 45.0, 31.0, 49.0, 22.0, 10.0, 39.0, 20.0, 8.0, 1.0, 49.0, 11.0, 23.0, 42.0, 32.0, 28.0, 6.0, 5.0]",True,150,0.6,49
8,8,123407.0,75.45037600499927,"[46.0, 15.0, 1.0, 17.0, 32.0, 10.0, 19.0, 34.0, 19.0, 31.0, 44.0, 43.0, 13.0, 40.0, 18.0, 37.0, 16.0, 28.0, 43.0, 34.0, 47.0, 20.0, 35.0, 29.0, 33.0, 29.0, 40.0, 41.0, 45.0, 42.0, 43.0, 23.0, 44.0, 12.0, 17.0, 3.0, 46.0, 45.0, 40.0, 49.0, 48.0, 42.0, 3.0, 39.0, 19.0, 29.0, 45.0, 37.0, 28.0, 6.0, 40.0, 31.0, 31.0, 9.0, 49.0, 48.0, 46.0, 2.0, 3.0, 49.0, 25.0, 41.0, 34.0, 19.0, 30.0, 24.0, 29.0, 4.0, 46.0, 44.0, 46.0, 10.0, 27.0, 42.0, 49.0, 43.0, 49.0, 3.0, 14.0, 32.0, 3.0, 20.0, 15.0, 40.0, 29.0, 14.0, 16.0, 1.0, 7.0, 10.0, 34.0, 14.0, 30.0, 43.0, 42.0, 34.0, 33.0, 21.0, 19.0, 31.0, 47.0, 47.0, 44.0, 32.0, 47.0, 33.0, 44.0, 9.0, 27.0, 8.0, 49.0, 33.0, 32.0, 45.0, 22.0, 6.0, 27.0, 42.0, 40.0, 47.0, 43.0, 47.0, 42.0, 24.0, 49.0, 36.0, 19.0, 41.0, 47.0, 11.0, 37.0, 8.0, 12.0, 45.0, 31.0, 49.0, 22.0, 32.0, 13.0, 29.0, 33.0, 47.0, 49.0, 11.0, 16.0, 42.0, 32.0, 5.0, 6.0, 20.0]",True,150,0.6,49
9,9,123407.0,84.60229471098864,"[46.0, 15.0, 1.0, 17.0, 32.0, 10.0, 19.0, 34.0, 19.0, 31.0, 44.0, 43.0, 13.0, 40.0, 18.0, 37.0, 16.0, 28.0, 43.0, 34.0, 47.0, 20.0, 35.0, 29.0, 33.0, 29.0, 40.0, 41.0, 45.0, 42.0, 43.0, 23.0, 44.0, 12.0, 17.0, 3.0, 46.0, 45.0, 40.0, 49.0, 48.0, 42.0, 3.0, 39.0, 19.0, 29.0, 45.0, 37.0, 28.0, 6.0, 40.0, 31.0, 31.0, 9.0, 49.0, 48.0, 46.0, 2.0, 3.0, 49.0, 25.0, 41.0, 34.0, 19.0, 30.0, 24.0, 29.0, 4.0, 46.0, 44.0, 46.0, 10.0, 27.0, 42.0, 49.0, 43.0, 49.0, 3.0, 14.0, 32.0, 3.0, 20.0, 15.0, 40.0, 29.0, 14.0, 16.0, 1.0, 7.0, 10.0, 34.0, 14.0, 30.0, 43.0, 42.0, 34.0, 33.0, 21.0, 19.0, 31.0, 47.0, 47.0, 44.0, 32.0, 47.0, 33.0, 44.0, 9.0, 27.0, 8.0, 49.0, 33.0, 32.0, 45.0, 22.0, 6.0, 27.0, 42.0, 40.0, 47.0, 43.0, 47.0, 42.0, 24.0, 49.0, 36.0, 19.0, 41.0, 47.0, 11.0, 37.0, 8.0, 12.0, 45.0, 31.0, 49.0, 22.0, 32.0, 13.0, 29.0, 33.0, 47.0, 49.0, 11.0, 16.0, 42.0, 32.0, 5.0, 6.0, 20.0]",True,150,0.6,49
