,Iteration,Time,Fitness,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,0.0035956120118498802,69093.0,True,100,0.6,49
1,1,3.1212227380019613,70981.0,True,100,0.6,49
2,2,6.158922003000043,70981.0,True,100,0.6,49
3,3,9.167173896013992,70981.0,True,100,0.6,49
4,4,12.048050420999061,72375.0,True,100,0.6,49
5,5,14.890039888006868,72375.0,True,100,0.6,49
6,6,17.782340208999813,73805.0,True,100,0.6,49
7,7,20.61528892701608,73805.0,True,100,0.6,49
8,8,23.384211212018272,73805.0,True,100,0.6,49
9,9,26.205988537025405,73805.0,True,100,0.6,49
10,10,28.958120233000955,73805.0,True,100,0.6,49
11,11,31.753651742008515,73805.0,True,100,0.6,49
