,Iteration,Time,Fitness,Temperature,max_iters
0,0,0.00011486301082186401,6.0,1000,4901
1,1,0.0005848490109201521,6.0,1000,4901
2,2,0.004838844994083047,6.0,1000,4901
3,3,0.004997970012482256,5.0,1000,4901
4,4,0.005147492018295452,5.0,1000,4901
5,5,0.005298959003994241,6.0,1000,4901
6,6,0.005446822993690148,6.0,1000,4901
7,7,0.005597612995188683,8.0,1000,4901
8,8,0.00576198601629585,8.0,1000,4901
9,9,0.0059160950186196715,8.0,1000,4901
10,10,0.006065619993023574,8.0,1000,4901
11,11,0.0062152440077625215,8.0,1000,4901
12,12,0.00636458201915957,8.0,1000,4901
13,13,0.006514039007015526,7.0,1000,4901
14,14,0.006664571003057063,7.0,1000,4901
15,15,0.006814291991759092,7.0,1000,4901
16,16,0.00696435701684095,7.0,1000,4901
17,17,0.007115243002772331,7.0,1000,4901
18,18,0.00728813701425679,7.0,1000,4901
19,19,0.007438839005772024,7.0,1000,4901
20,20,0.007584997016238049,7.0,1000,4901
21,21,0.007734912011073902,5.0,1000,4901
22,22,0.007884534017648548,5.0,1000,4901
23,23,0.008030269003938884,5.0,1000,4901
24,24,0.008175424009095877,5.0,1000,4901
25,25,0.0083258849917911,5.0,1000,4901
26,26,0.008479923999402672,6.0,1000,4901
27,27,0.00862251000944525,6.0,1000,4901
28,28,0.008772514993324876,6.0,1000,4901
29,29,0.008924712019506842,6.0,1000,4901
30,30,0.009069337014807388,5.0,1000,4901
31,31,0.009215085010509938,5.0,1000,4901
32,32,0.009366789017803967,5.0,1000,4901
33,33,0.009516752004856244,5.0,1000,4901
34,34,0.009666594996815547,5.0,1000,4901
35,35,0.009817317011766136,5.0,1000,4901
36,36,0.009971807012334466,4.0,1000,4901
37,37,0.010126458015292883,4.0,1000,4901
38,38,0.01027989000431262,5.0,1000,4901
39,39,0.010429429996293038,5.0,1000,4901
40,40,0.010581450012978166,5.0,1000,4901
41,41,0.010728216991992667,5.0,1000,4901
42,42,0.01089300899184309,5.0,1000,4901
43,43,0.01104643099824898,4.0,1000,4901
44,44,0.011198449006769806,4.0,1000,4901
45,45,0.011344566009938717,4.0,1000,4901
46,46,0.011494852020405233,4.0,1000,4901
47,47,0.01164462699671276,4.0,1000,4901
48,48,0.011791177006671205,5.0,1000,4901
49,49,0.011938144016312435,5.0,1000,4901
50,50,0.012089846015442163,5.0,1000,4901
51,51,0.012236278998898342,5.0,1000,4901
52,52,0.012404737004544586,5.0,1000,4901
53,53,0.012578443012898788,5.0,1000,4901
54,54,0.012728482019156218,5.0,1000,4901
55,55,0.012882239010650665,5.0,1000,4901
56,56,0.013034681003773585,6.0,1000,4901
57,57,0.01318343001184985,6.0,1000,4901
58,58,0.013335833995370194,6.0,1000,4901
59,59,0.013488007010892034,6.0,1000,4901
60,60,0.01364053599536419,6.0,1000,4901
61,61,0.013787875010166317,6.0,1000,4901
62,62,0.013940310018369928,6.0,1000,4901
63,63,0.014088433003053069,6.0,1000,4901
64,64,0.014244137011701241,6.0,1000,4901
65,65,0.014399641018826514,6.0,1000,4901
66,66,0.01455347501905635,6.0,1000,4901
67,67,0.014702298009069636,6.0,1000,4901
68,68,0.014854039007332176,6.0,1000,4901
69,69,0.015006989997345954,6.0,1000,4901
70,70,0.01516010201885365,6.0,1000,4901
71,71,0.0153070550004486,4.0,1000,4901
72,72,0.015458737994777039,4.0,1000,4901
73,73,0.015609827998559922,4.0,1000,4901
74,74,0.015762405993882567,5.0,1000,4901
75,75,0.0159243950038217,5.0,1000,4901
76,76,0.016079748020274565,5.0,1000,4901
77,77,0.016231963993050158,5.0,1000,4901
78,78,0.01638460301910527,5.0,1000,4901
79,79,0.01654861101997085,5.0,1000,4901
80,80,0.016701871005352587,6.0,1000,4901
81,81,0.01685024000471458,6.0,1000,4901
82,82,0.017002868000417948,6.0,1000,4901
83,83,0.017151152016595006,7.0,1000,4901
84,84,0.017301098007010296,7.0,1000,4901
85,85,0.017470202001277357,7.0,1000,4901
86,86,0.017620350001379848,7.0,1000,4901
87,87,0.017773757019313052,7.0,1000,4901
88,88,0.01792800400289707,7.0,1000,4901
89,89,0.01807896900572814,7.0,1000,4901
90,90,0.018232411006465554,7.0,1000,4901
91,91,0.018385161005426198,7.0,1000,4901
92,92,0.01853813201887533,7.0,1000,4901
93,93,0.018686827999772504,7.0,1000,4901
94,94,0.018834799004253,7.0,1000,4901
95,95,0.018988160009030253,7.0,1000,4901
96,96,0.019136246002744883,7.0,1000,4901
97,97,0.01928520799265243,6.0,1000,4901
98,98,0.019438186020124704,6.0,1000,4901
99,99,0.0195873920165468,6.0,1000,4901
100,100,0.01974085601978004,6.0,1000,4901
101,101,0.01989412499824539,6.0,1000,4901
102,102,0.02475935299298726,6.0,1000,4901
103,103,0.02492672801599838,6.0,1000,4901
104,104,0.025083849992370233,6.0,1000,4901
105,105,0.02524042600998655,6.0,1000,4901
106,106,0.02539604200865142,6.0,1000,4901
107,107,0.025554812018526718,6.0,1000,4901
108,108,0.025710122019518167,6.0,1000,4901
109,109,0.02586370799690485,6.0,1000,4901
110,110,0.026035855000372976,6.0,1000,4901
111,111,0.026194181002210826,6.0,1000,4901
112,112,0.026350533997174352,5.0,1000,4901
113,113,0.026504743000259623,5.0,1000,4901
114,114,0.026660744013497606,4.0,1000,4901
115,115,0.02681599499192089,4.0,1000,4901
116,116,0.02696898899739608,4.0,1000,4901
117,117,0.027123630017740652,4.0,1000,4901
118,118,0.027274936001049355,4.0,1000,4901
119,119,0.027424680010881275,4.0,1000,4901
120,120,0.027592377009568736,4.0,1000,4901
