,Iteration,Time,Fitness,Restarts,max_iters,current_restart
0,0,0.00012852100007876288,60061.0,0,901,0
1,1,0.0007952999985718634,60061.0,0,901,0
2,2,0.0065793249996204395,60085.0,0,901,0
3,3,0.00672490199940512,62005.0,0,901,0
4,4,0.006857835000118939,62032.0,0,901,0
5,5,0.006990164998569526,62221.0,0,901,0
6,6,0.0071193160001712386,62221.0,0,901,0
7,7,0.007216553998659947,62221.0,0,901,0
8,8,0.007314683998629334,62284.0,0,901,0
9,9,0.007447439998941263,62284.0,0,901,0
10,10,0.007546958999228082,62284.0,0,901,0
11,11,0.007644747000085772,62284.0,0,901,0
12,12,0.007741948998955195,62284.0,0,901,0
13,13,0.007839616999262944,62300.0,0,901,0
14,14,0.007969725998918875,62300.0,0,901,0
15,15,0.008067366999966907,62300.0,0,901,0
16,16,0.008164637998561375,62510.0,0,901,0
17,17,0.008295191999422968,62666.0,0,901,0
18,18,0.008447750999039272,62776.0,0,901,0
19,19,0.008579039998949156,62776.0,0,901,0
20,20,0.008677817999341642,62776.0,0,901,0
21,21,0.008778456000072765,62776.0,0,901,0
22,22,0.008876410998709616,62776.0,0,901,0
23,23,0.008974989999842364,62776.0,0,901,0
24,24,0.009073055000044405,62776.0,0,901,0
25,25,0.00917184199897747,62826.0,0,901,0
26,26,0.009305370000220137,63126.0,0,901,0
27,27,0.009438754999791854,63126.0,0,901,0
28,28,0.009556179998980951,63126.0,0,901,0
29,29,0.00965730699863343,63726.0,0,901,0
30,30,0.009789174999241368,63774.0,0,901,0
31,31,0.009922887998982333,64313.0,0,901,0
32,32,0.010055503998955828,64921.0,0,901,0
33,33,0.010219171999779064,64921.0,0,901,0
34,34,0.010320386998500908,64921.0,0,901,0
35,35,0.010419889998956933,64921.0,0,901,0
36,36,0.010519467999984045,64921.0,0,901,0
37,37,0.010617924999678507,64921.0,0,901,0
38,38,0.01071815700015577,64921.0,0,901,0
39,39,0.01081994299966027,65029.0,0,901,0
40,40,0.010952308999549132,65029.0,0,901,0
41,41,0.011052422998545808,65029.0,0,901,0
42,42,0.01115274099902308,65071.0,0,901,0
43,43,0.011285729999144678,65071.0,0,901,0
44,44,0.011386468999262433,65071.0,0,901,0
45,45,0.01148684599866101,65071.0,0,901,0
46,46,0.011588178000238258,65105.0,0,901,0
47,47,0.011724161999154603,65185.0,0,901,0
48,48,0.01185808599984739,65185.0,0,901,0
49,49,0.011960645999351982,65425.0,0,901,0
50,50,0.012093624000044656,65425.0,0,901,0
51,51,0.012190933999590925,65887.0,0,901,0
52,52,0.012337819998720079,65887.0,0,901,0
53,53,0.012444598998627043,65887.0,0,901,0
54,54,0.012550395000289427,65887.0,0,901,0
55,55,0.012657889999900362,66071.0,0,901,0
56,56,0.012789123999027652,66071.0,0,901,0
57,57,0.012904198998512584,66071.0,0,901,0
58,58,0.01300605500000529,66071.0,0,901,0
59,59,0.013103247998515144,66665.0,0,901,0
60,60,0.013251280999611481,66665.0,0,901,0
61,61,0.013394985999184428,66707.0,0,901,0
62,62,0.0135429589990963,67097.0,0,901,0
63,63,0.013686307000170927,67097.0,0,901,0
64,64,0.013769895000223187,67705.0,0,901,0
65,65,0.013860177999958978,67705.0,0,901,0
66,66,0.01393215399912151,68585.0,0,901,0
67,67,0.014022519999343785,68972.0,0,901,0
68,68,0.014202233998730662,68972.0,0,901,0
69,69,0.01431536499876529,68972.0,0,901,0
70,70,0.0144282490000478,69091.0,0,901,0
71,71,0.014580733999537188,69115.0,0,901,0
72,72,0.014738873998794588,69115.0,0,901,0
73,73,0.014855204999548732,69248.0,0,901,0
74,74,0.01500482200026454,69248.0,0,901,0
75,75,0.015116774999114568,69248.0,0,901,0
76,76,0.015233076999720652,69514.0,0,901,0
77,77,0.015384970000013709,69514.0,0,901,0
78,78,0.015500761999646784,69514.0,0,901,0
79,79,0.01561295699866605,69514.0,0,901,0
80,80,0.015729335000287392,69712.0,0,901,0
81,81,0.015869646000282955,69712.0,0,901,0
82,82,0.015977072000168846,69712.0,0,901,0
83,83,0.01608365999891248,70012.0,0,901,0
84,84,0.01622609299920441,70012.0,0,901,0
85,85,0.016340656999091152,70012.0,0,901,0
86,86,0.01645579700016242,70012.0,0,901,0
87,87,0.01656927699877997,70012.0,0,901,0
88,88,0.016677339999660035,70012.0,0,901,0
89,89,0.016794860999652883,70012.0,0,901,0
90,90,0.016910383999857004,70012.0,0,901,0
91,91,0.017025015999024617,70012.0,0,901,0
92,92,0.017134906000137562,70012.0,0,901,0
93,93,0.017241260999071528,70636.0,0,901,0
94,94,0.017399800999555737,70636.0,0,901,0
95,95,0.017519648999950732,70636.0,0,901,0
96,96,0.0176401699991402,70636.0,0,901,0
97,97,0.017755224000211456,70636.0,0,901,0
98,98,0.017865018999145832,70636.0,0,901,0
99,99,0.01798123200023838,70636.0,0,901,0
100,100,0.01809281500027282,70636.0,0,901,0
101,101,0.018216050999399158,70636.0,0,901,0
102,102,0.02435633699860773,70636.0,0,901,0
103,103,0.024441482999463915,70636.0,0,901,0
104,104,0.02451851399928273,70636.0,0,901,0
105,105,0.024589405998995062,70636.0,0,901,0
106,106,0.02466218599874992,70636.0,0,901,0
107,107,0.024746463999690604,70636.0,0,901,0
108,108,0.024830461999954423,70636.0,0,901,0
109,109,0.02490410599966708,70636.0,0,901,0
110,110,0.024973185998533154,70636.0,0,901,0
111,111,0.025044594998689718,70636.0,0,901,0
112,112,0.025112905999776558,70636.0,0,901,0
113,113,0.02518150899959437,70636.0,0,901,0
114,114,0.025253670999518363,70636.0,0,901,0
115,115,0.025326793000203907,70636.0,0,901,0
116,116,0.02539951399921847,70636.0,0,901,0
117,117,0.02547170899924822,70636.0,0,901,0
118,118,0.025541074999637203,70636.0,0,901,0
119,119,0.025609738999264664,70832.0,0,901,0
120,120,0.02570253900012176,70832.0,0,901,0
121,121,0.025772813998628408,70832.0,0,901,0
122,122,0.025845078998827375,70832.0,0,901,0
123,123,0.025917548999132123,70832.0,0,901,0
124,124,0.02598953300002904,70832.0,0,901,0
125,125,0.02606141700016451,70886.0,0,901,0
126,126,0.02617690099941683,70886.0,0,901,0
127,127,0.026264007999998285,70886.0,0,901,0
128,128,0.026339059999372694,70886.0,0,901,0
129,129,0.026413301999127725,70886.0,0,901,0
130,130,0.02648671599854424,70886.0,0,901,0
131,131,0.026558261999525712,70886.0,0,901,0
132,132,0.02662818899989361,70886.0,0,901,0
133,133,0.02670260299964866,70886.0,0,901,0
134,134,0.026777105000292067,70902.0,0,901,0
135,135,0.026872442998865154,70902.0,0,901,0
136,136,0.026944109999021748,70902.0,0,901,0
137,137,0.027019328999813297,70902.0,0,901,0
138,138,0.02709445899927232,70902.0,0,901,0
139,139,0.02716580499873089,70902.0,0,901,0
140,140,0.027240767998591764,70902.0,0,901,0
141,141,0.02731640599995444,70902.0,0,901,0
142,142,0.027387996999095776,70902.0,0,901,0
143,143,0.027459912998892833,70902.0,0,901,0
144,144,0.02753204500004358,70902.0,0,901,0
145,145,0.02760705899891036,70902.0,0,901,0
146,146,0.027681956999003887,70902.0,0,901,0
147,147,0.02775706799911859,70902.0,0,901,0
148,148,0.027832427998873754,70902.0,0,901,0
149,149,0.027906602999792085,70902.0,0,901,0
150,150,0.027982547999272356,70902.0,0,901,0
151,151,0.028054555999915465,70902.0,0,901,0
152,152,0.028126860999691417,70902.0,0,901,0
153,153,0.02819831299893849,70902.0,0,901,0
154,154,0.028274783999222564,70902.0,0,901,0
155,155,0.028350414999295026,70902.0,0,901,0
156,156,0.02842674800012901,70902.0,0,901,0
157,157,0.0285037289995671,70902.0,0,901,0
158,158,0.028579661999174277,70902.0,0,901,0
159,159,0.02865530700000818,70902.0,0,901,0
160,160,0.028741747999447398,70902.0,0,901,0
161,161,0.028838893998909043,70902.0,0,901,0
162,162,0.028915164999489207,70902.0,0,901,0
163,163,0.028991342998779146,70902.0,0,901,0
164,164,0.029067864999888116,70902.0,0,901,0
165,165,0.02914476099977037,70902.0,0,901,0
166,166,0.0292213829998218,70902.0,0,901,0
167,167,0.02929718999985198,70902.0,0,901,0
168,168,0.029373870998824714,70902.0,0,901,0
169,169,0.029446452999764006,70902.0,0,901,0
170,170,0.029522278999138507,70902.0,0,901,0
171,171,0.029595770998639637,70902.0,0,901,0
172,172,0.02967197999896598,70902.0,0,901,0
173,173,0.029747926999334595,70902.0,0,901,0
174,174,0.029827106998709496,70902.0,0,901,0
175,175,0.029925531998742372,70902.0,0,901,0
176,176,0.030034118999537895,70902.0,0,901,0
177,177,0.030117992999294074,70902.0,0,901,0
178,178,0.03026271899943822,70902.0,0,901,0
179,179,0.030434520000198972,70902.0,0,901,0
180,180,0.0305709679996653,70902.0,0,901,0
181,181,0.030706546000146773,70902.0,0,901,0
182,182,0.030851364999762154,70902.0,0,901,0
183,183,0.031009820999315707,70902.0,0,901,0
184,184,0.031122344998948392,70902.0,0,901,0
185,185,0.031211276998874382,70902.0,0,901,0
186,186,0.03129234999869368,70902.0,0,901,0
187,187,0.031368473999464186,70902.0,0,901,0
188,188,0.03144813899962173,70902.0,0,901,0
189,189,0.03152807699916593,70902.0,0,901,0
190,190,0.031606369999281014,70902.0,0,901,0
191,191,0.03168528099922696,70902.0,0,901,0
192,192,0.03176455999891914,70902.0,0,901,0
193,193,0.031843923999986146,70902.0,0,901,0
194,194,0.03192233799927635,70902.0,0,901,0
195,195,0.0320010289997299,70902.0,0,901,0
196,196,0.03207947499868169,70902.0,0,901,0
197,197,0.032156156999917584,70902.0,0,901,0
198,198,0.032260437999866554,70902.0,0,901,0
199,199,0.032339379999029916,70902.0,0,901,0
200,200,0.03241649099982169,70902.0,0,901,0
201,201,0.03249675499864679,70902.0,0,901,0
202,202,0.037946481999824755,70902.0,0,901,0
203,203,0.03803708299892605,70902.0,0,901,0
204,204,0.0381228039987036,70902.0,0,901,0
205,205,0.03823979399930977,70902.0,0,901,0
206,206,0.0383217219987273,70902.0,0,901,0
207,207,0.03840209599911759,70902.0,0,901,0
208,208,0.038481921999846236,70902.0,0,901,0
209,209,0.03855994799960172,70902.0,0,901,0
210,210,0.03863730499870144,70902.0,0,901,0
211,211,0.03871369599983154,70902.0,0,901,0
212,212,0.03879392699855089,70902.0,0,901,0
213,213,0.03888631500012707,70902.0,0,901,0
214,214,0.03897443099958764,70902.0,0,901,0
215,215,0.03905615799885709,70902.0,0,901,0
216,216,0.039137435998782166,70902.0,0,901,0
217,217,0.03921895999883418,70902.0,0,901,0
218,218,0.039296948998526204,70902.0,0,901,0
219,219,0.03937491999931808,70902.0,0,901,0
220,220,0.0394525909996446,70902.0,0,901,0
221,221,0.039533452998512075,70902.0,0,901,0
222,222,0.039615824998691096,70902.0,0,901,0
223,223,0.03969707699980063,70902.0,0,901,0
224,224,0.03977484600000025,70902.0,0,901,0
225,225,0.039852857998994295,70902.0,0,901,0
226,226,0.039930124999955297,70902.0,0,901,0
227,227,0.04002146899983927,70902.0,0,901,0
228,228,0.040109120000124676,70902.0,0,901,0
229,229,0.040186834999985876,70902.0,0,901,0
230,230,0.04026530899864156,70902.0,0,901,0
231,231,0.04034644999956072,70902.0,0,901,0
232,232,0.040424839999104734,70902.0,0,901,0
233,233,0.04050676599945291,70902.0,0,901,0
234,234,0.04058677699867985,70902.0,0,901,0
235,235,0.04066591399896424,70902.0,0,901,0
236,236,0.04074390399910044,70902.0,0,901,0
237,237,0.04082475299946964,70902.0,0,901,0
238,238,0.04090392999933101,70902.0,0,901,0
239,239,0.040982405000249855,70902.0,0,901,0
240,240,0.04106142899945553,70902.0,0,901,0
241,241,0.04113978199893609,70902.0,0,901,0
242,242,0.0412185489985859,70902.0,0,901,0
243,243,0.04129715099952591,70902.0,0,901,0
244,244,0.04137645499940845,70902.0,0,901,0
245,245,0.04145541899924865,70902.0,0,901,0
246,246,0.04153469399898313,70902.0,0,901,0
247,247,0.04161699399992358,70902.0,0,901,0
248,248,0.04170000500016613,70902.0,0,901,0
249,249,0.04178354899886472,70902.0,0,901,0
250,250,0.04186458000003768,70902.0,0,901,0
251,251,0.04194491499947617,70902.0,0,901,0
252,252,0.04202789899864001,70902.0,0,901,0
253,253,0.04210851999960141,70902.0,0,901,0
254,254,0.042219347998980084,70902.0,0,901,0
255,255,0.042299400998672354,70902.0,0,901,0
256,256,0.042382284000268555,70902.0,0,901,0
257,257,0.04246331799913605,70902.0,0,901,0
258,258,0.04254825899988646,70902.0,0,901,0
259,259,0.04263219299900811,70902.0,0,901,0
260,260,0.04271308599891199,70902.0,0,901,0
261,261,0.04279682599917578,70902.0,0,901,0
262,262,0.04288081099912233,70902.0,0,901,0
263,263,0.042962535999322427,70902.0,0,901,0
264,264,0.04304877799950191,70902.0,0,901,0
265,265,0.04313044499940588,70902.0,0,901,0
266,266,0.04321213299954252,70902.0,0,901,0
267,267,0.043293257998811896,70902.0,0,901,0
268,268,0.04337347099863109,70902.0,0,901,0
269,269,0.043454979999296484,70902.0,0,901,0
270,270,0.043543130999751156,70902.0,0,901,0
271,271,0.04362819099878834,70902.0,0,901,0
272,272,0.04371264399924257,70902.0,0,901,0
273,273,0.043794261999209994,70902.0,0,901,0
274,274,0.04387837399917771,70902.0,0,901,0
275,275,0.043968963998850086,70902.0,0,901,0
276,276,0.044057924998924136,70902.0,0,901,0
277,277,0.04414030799853208,70902.0,0,901,0
278,278,0.044225458999790135,70902.0,0,901,0
279,279,0.04430733299886924,70902.0,0,901,0
280,280,0.044388808999428875,70902.0,0,901,0
281,281,0.04447418800009473,70902.0,0,901,0
282,282,0.04456015399955504,70902.0,0,901,0
283,283,0.044646186999671045,70902.0,0,901,0
284,284,0.04473217799932172,70902.0,0,901,0
285,285,0.04481507099990267,70902.0,0,901,0
